Frequency	 |S11|	 Phase(S11)	 ExtPh(S11)	 |S21|	 Phase(S21)	 ExtPh(S21)	 |S12|	 Phase(S12)	 ExtPh(S12)	 |S22|	 Phase(S22)	 ExtPh(S22) 
5.000000e-001	-5.250102e-001	-3.167307e+000	-3.167307e+000	-5.332639e+001	8.414383e+001	8.414383e+001	-5.412432e+001	7.753840e+001	7.753840e+001	-5.570549e-001	-2.657913e+000	-2.657913e+000	
5.010000e-001	-5.288766e-001	-3.173091e+000	-3.173091e+000	-5.481598e+001	-8.712783e+001	9.287217e+001	-5.334638e+001	7.776321e+001	7.776321e+001	-5.509769e-001	-2.652392e+000	-2.652392e+000	
5.020000e-001	-5.314380e-001	-3.162679e+000	-3.162679e+000	-5.445207e+001	7.229464e+001	7.229464e+001	-5.441675e+001	7.559861e+001	7.559861e+001	-5.458622e-001	-2.666968e+000	-2.666968e+000	
5.030000e-001	-5.300561e-001	-3.163559e+000	-3.163559e+000	-5.398198e+001	8.455707e+001	8.455707e+001	-5.341407e+001	8.433696e+001	8.433696e+001	-5.544271e-001	-2.661361e+000	-2.661361e+000	
5.040000e-001	-5.380638e-001	-3.184904e+000	-3.184904e+000	-5.266695e+001	8.471544e+001	8.471544e+001	-5.199877e+001	8.236972e+001	8.236972e+001	-5.463384e-001	-2.670494e+000	-2.670494e+000	
5.050000e-001	-5.328442e-001	-3.190540e+000	-3.190540e+000	-5.211576e+001	8.035690e+001	8.035690e+001	-5.466218e+001	8.108503e+001	8.108503e+001	-5.564894e-001	-2.651972e+000	-2.651972e+000	
5.060000e-001	-5.337529e-001	-3.215361e+000	-3.215361e+000	-5.350948e+001	8.027755e+001	8.027755e+001	-5.373678e+001	8.798959e+001	8.798959e+001	-5.554691e-001	-2.704615e+000	-2.704615e+000	
5.070000e-001	-5.335390e-001	-3.233119e+000	-3.233119e+000	-5.468313e+001	7.751522e+001	7.751522e+001	-5.414407e+001	8.251158e+001	8.251158e+001	-5.528530e-001	-2.751514e+000	-2.751514e+000	
5.080000e-001	-5.308134e-001	-3.231176e+000	-3.231176e+000	-5.233942e+001	8.048154e+001	8.048154e+001	-5.360465e+001	8.609059e+001	8.609059e+001	-5.562816e-001	-2.761528e+000	-2.761528e+000	
5.090000e-001	-5.284842e-001	-3.261441e+000	-3.261441e+000	-5.439494e+001	-8.556538e+001	9.443462e+001	-5.380540e+001	7.803299e+001	7.803299e+001	-5.535827e-001	-2.726462e+000	-2.726462e+000	
5.100000e-001	-5.283176e-001	-3.275973e+000	-3.275973e+000	-5.372025e+001	7.365839e+001	7.365839e+001	-5.341825e+001	8.260603e+001	8.260603e+001	-5.628088e-001	-2.741096e+000	-2.741096e+000	
5.110000e-001	-5.388276e-001	-3.256328e+000	-3.256328e+000	-5.354791e+001	7.378569e+001	7.378569e+001	-5.384567e+001	8.397995e+001	8.397995e+001	-5.590937e-001	-2.769758e+000	-2.769758e+000	
5.120000e-001	-5.367897e-001	-3.206512e+000	-3.206512e+000	-5.337404e+001	8.300781e+001	8.300781e+001	-5.268305e+001	7.198118e+001	7.198118e+001	-5.486693e-001	-2.781650e+000	-2.781650e+000	
5.130000e-001	-5.303009e-001	-3.251771e+000	-3.251771e+000	-5.245423e+001	7.491681e+001	7.491681e+001	-5.462512e+001	7.994669e+001	7.994669e+001	-5.575426e-001	-2.761557e+000	-2.761557e+000	
5.140000e-001	-5.258520e-001	-3.292470e+000	-3.292470e+000	-5.360477e+001	8.314193e+001	8.314193e+001	-5.383685e+001	8.586565e+001	8.586565e+001	-5.549844e-001	-2.774094e+000	-2.774094e+000	
5.150000e-001	-5.262589e-001	-3.261844e+000	-3.261844e+000	-5.357644e+001	8.398738e+001	8.398738e+001	-5.399338e+001	8.478044e+001	8.478044e+001	-5.522449e-001	-2.798187e+000	-2.798187e+000	
