Frequency	 |S11|	 Phase(S11)	 ExtPh(S11)	 |S21|	 Phase(S21)	 ExtPh(S21)	 |S12|	 Phase(S12)	 ExtPh(S12)	 |S22|	 Phase(S22)	 ExtPh(S22) 
5.000000e-001	-5.148913e-001	-3.093127e+000	-3.093127e+000	-5.129603e+001	8.342919e+001	8.342919e+001	-5.251148e+001	8.964512e+001	8.964512e+001	-5.451499e-001	-2.495755e+000	-2.495755e+000	
5.010000e-001	-5.335851e-001	-3.097741e+000	-3.097741e+000	-5.202733e+001	8.653975e+001	8.653975e+001	-5.450367e+001	-8.715615e+001	9.284385e+001	-5.358907e-001	-2.573363e+000	-2.573363e+000	
5.020000e-001	-5.190417e-001	-3.064279e+000	-3.064279e+000	-5.329154e+001	5.946376e+001	5.946376e+001	-5.351925e+001	-8.563377e+001	9.436623e+001	-5.563436e-001	-2.541706e+000	-2.541706e+000	
5.030000e-001	-5.246767e-001	-3.048296e+000	-3.048296e+000	-5.283258e+001	-8.989969e+001	9.010031e+001	-5.133779e+001	8.198475e+001	8.198475e+001	-5.421981e-001	-2.594120e+000	-2.594120e+000	
5.040000e-001	-5.311898e-001	-3.051392e+000	-3.051392e+000	-5.694880e+001	-5.478922e+001	1.252108e+002	-5.037362e+001	5.884640e+001	5.884640e+001	-5.442335e-001	-2.593293e+000	-2.593293e+000	
5.050000e-001	-5.278087e-001	-3.109643e+000	-3.109643e+000	-5.181140e+001	8.009606e+001	2.600961e+002	-5.199373e+001	8.574575e+001	8.574575e+001	-5.489496e-001	-2.547303e+000	-2.547303e+000	
5.060000e-001	-5.188503e-001	-3.164035e+000	-3.164035e+000	-5.378430e+001	7.510482e+001	2.551048e+002	-5.170890e+001	-8.163926e+001	9.836074e+001	-5.532344e-001	-2.595097e+000	-2.595097e+000	
5.070000e-001	-5.207002e-001	-3.141447e+000	-3.141447e+000	-5.440555e+001	7.383749e+001	2.538375e+002	-5.099729e+001	6.400994e+001	6.400994e+001	-5.533823e-001	-2.620156e+000	-2.620156e+000	
5.080000e-001	-5.066869e-001	-3.051287e+000	-3.051287e+000	-5.598403e+001	8.139404e+001	2.613940e+002	-5.170206e+001	8.085194e+001	8.085194e+001	-5.502062e-001	-2.664686e+000	-2.664686e+000	
5.090000e-001	-5.244568e-001	-3.150037e+000	-3.150037e+000	-5.278013e+001	7.752428e+001	2.575243e+002	-5.102030e+001	8.276445e+001	8.276445e+001	-5.499569e-001	-2.561616e+000	-2.561616e+000	
5.100000e-001	-5.400606e-001	-3.139152e+000	-3.139152e+000	-5.248770e+001	6.827048e+001	2.482705e+002	-5.183608e+001	8.574579e+001	8.574579e+001	-5.620360e-001	-2.712181e+000	-2.712181e+000	
5.110000e-001	-5.185493e-001	-3.121172e+000	-3.121172e+000	-5.265265e+001	6.974393e+001	2.497439e+002	-5.243190e+001	8.408945e+001	8.408945e+001	-5.468825e-001	-2.748816e+000	-2.748816e+000	
5.120000e-001	-5.347712e-001	-3.156181e+000	-3.156181e+000	-5.546427e+001	6.790594e+001	2.479059e+002	-5.369911e+001	7.882085e+001	7.882085e+001	-5.420556e-001	-2.666623e+000	-2.666623e+000	
5.130000e-001	-5.267076e-001	-3.164269e+000	-3.164269e+000	-5.535565e+001	7.576886e+001	2.557689e+002	-5.484481e+001	6.723620e+001	6.723620e+001	-5.442084e-001	-2.524603e+000	-2.524603e+000	
5.140000e-001	-5.215541e-001	-3.225689e+000	-3.225689e+000	-5.340314e+001	-7.077730e+001	2.892227e+002	-5.225820e+001	7.365706e+001	7.365706e+001	-5.431346e-001	-2.633387e+000	-2.633387e+000	
5.150000e-001	-5.349856e-001	-3.141186e+000	-3.141186e+000	-5.035856e+001	-8.629695e+001	2.737030e+002	-4.995080e+001	7.144603e+001	7.144603e+001	-5.442369e-001	-2.703762e+000	-2.703762e+000	
5.160000e-001	-5.305082e-001	-3.230003e+000	-3.230003e+000	-5.477134e+001	7.319316e+001	2.531932e+002	-5.003132e+001	6.937298e+001	6.937298e+001	-5.404745e-001	-2.707594e+000	-2.707594e+000	
5.170000e-001	-5.319469e-001	-3.258037e+000	-3.258037e+000	-5.662676e+001	-8.692353e+001	2.730765e+002	-5.638993e+001	5.918591e+001	5.918591e+001	-5.443822e-001	-2.704339e+000	-2.704339e+000	
5.180000e-001	-5.377875e-001	-3.108172e+000	-3.108172e+000	-5.280417e+001	8.255816e+001	2.625582e+002	-5.011114e+001	8.558312e+001	8.558312e+001	-5.463741e-001	-2.744491e+000	-2.744491e+000	
5.190000e-001	-5.192467e-001	-3.211158e+000	-3.211158e+000	-5.119542e+001	5.874927e+001	2.387493e+002	-5.216704e+001	8.411027e+001	8.411027e+001	-5.437628e-001	-2.821892e+000	-2.821892e+000	
5.200000e-001	-5.218064e-001	-3.186902e+000	-3.186902e+000	-5.042433e+001	-8.759845e+001	2.724015e+002	-5.431400e+001	6.573703e+001	6.573703e+001	-5.631657e-001	-2.809995e+000	-2.809995e+000	
5.210000e-001	-5.072216e-001	-3.301856e+000	-3.301856e+000	-5.602218e+001	8.479571e+001	2.647957e+002	-5.263083e+001	7.958756e+001	7.958756e+001	-5.420445e-001	-2.722706e+000	-2.722706e+000	
5.220000e-001	-5.193671e-001	-3.247095e+000	-3.247095e+000	-5.972536e+001	-5.670438e+001	3.032956e+002	-5.492401e+001	-8.234406e+001	9.765594e+001	-5.481056e-001	-2.806488e+000	-2.806488e+000	
5.230000e-001	-5.244092e-001	-3.315831e+000	-3.315831e+000	-4.971283e+001	7.325550e+001	4.332555e+002	-5.515880e+001	-7.577791e+001	1.042221e+002	-5.543314e-001	-2.743463e+000	-2.743463e+000	
5.240000e-001	-5.196352e-001	-3.137241e+000	-3.137241e+000	-5.255792e+001	7.185439e+001	4.318544e+002	-5.485954e+001	3.727203e+001	2.172720e+002	-5.516363e-001	-2.821423e+000	-2.821423e+000	
5.250000e-001	-5.325536e-001	-3.231911e+000	-3.231911e+000	-5.910574e+001	-8.436203e+001	4.556380e+002	-5.488903e+001	-8.257059e+001	9.742941e+001	-5.520357e-001	-2.757475e+000	-2.757475e+000	
5.260000e-001	-5.294625e-001	-3.300109e+000	-3.300109e+000	-5.211418e+001	6.250137e+001	4.225014e+002	-5.219339e+001	7.709108e+001	7.709108e+001	-5.546922e-001	-2.764888e+000	-2.764888e+000	
5.270000e-001	-5.080566e-001	-3.255342e+000	-3.255342e+000	-5.279593e+001	-8.900642e+001	4.509936e+002	-5.487097e+001	7.776428e+001	7.776428e+001	-5.453389e-001	-2.874085e+000	-2.874085e+000	
5.280000e-001	-5.165966e-001	-3.344268e+000	-3.344268e+000	-5.198804e+001	7.752589e+001	4.375259e+002	-5.692766e+001	8.808295e+001	8.808295e+001	-5.433675e-001	-2.879097e+000	-2.879097e+000	
5.290000e-001	-5.189803e-001	-3.286825e+000	-3.286825e+000	-5.366829e+001	4.151728e+001	4.015173e+002	-5.151893e+001	7.537124e+001	7.537124e+001	-5.555623e-001	-2.765894e+000	-2.765894e+000	
5.300000e-001	-5.302458e-001	-3.324989e+000	-3.324989e+000	-5.463577e+001	8.226473e+001	4.422647e+002	-5.482885e+001	6.890280e+001	6.890280e+001	-5.496355e-001	-2.816308e+000	-2.816308e+000	
5.310000e-001	-5.058325e-001	-3.259335e+000	-3.259335e+000	-4.948215e+001	7.676420e+001	4.367642e+002	-5.219465e+001	7.503430e+001	7.503430e+001	-5.421644e-001	-2.818692e+000	-2.818692e+000	
5.320000e-001	-5.199017e-001	-3.313749e+000	-3.313749e+000	-5.294225e+001	-7.935505e+001	4.606449e+002	-5.337911e+001	-8.540654e+001	9.459346e+001	-5.641442e-001	-2.858110e+000	-2.858110e+000	
5.330000e-001	-5.502606e-001	-3.245423e+000	-3.245423e+000	-5.581133e+001	6.246389e+001	4.224639e+002	-5.559353e+001	7.282248e+001	7.282248e+001	-5.592567e-001	-2.869294e+000	-2.869294e+000	
5.340000e-001	-5.214238e-001	-3.223024e+000	-3.223024e+000	-6.392164e+001	-5.680914e+001	3.031909e+002	-5.202357e+001	-7.689276e+001	1.031072e+002	-5.626173e-001	-2.864360e+000	-2.864360e+000	
