Frequency 	 |S21| 	 Phase(S21) 	 ExtPhase(S21) 	 CorPhase(S21)	 ExtCorPhase(S21)	 |S12| 	 Phase(S12)	 ExtPhase(S12) 	 CorPhase(S12)	 ExtCorPhase(S12)
GHz 	 dB 	 deg 	 deg 	 deg	 deg	 dB 	 deg 	 deg 	 deg	 deg
5.00000000e-001	-5.76458573e+001	4.36564906e+001	4.36564906e+001	2.60516251e+001	2.60516251e+001	-6.23463698e+001	-7.69261201e+001	-7.69261201e+001	3.26147315e+000	3.26147315e+000
5.01000000e-001	-5.66577762e+001	-8.12051403e+001	-8.12051403e+001	-1.62765195e+001	-1.62765195e+001	-6.83876551e+001	-3.06989201e+001	-3.06989201e+001	-1.07433452e+001	-1.07433452e+001
5.02000000e-001	-5.99821569e+001	1.22816801e+001	1.22816801e+001	2.63529395e+001	2.63529395e+001	-5.87436807e+001	-1.82059165e+001	-1.82059165e+001	-3.26522467e+001	-3.26522467e+001
5.03000000e-001	-6.72898385e+001	-8.08793438e+001	-8.08793438e+001	1.43232355e+000	1.43232355e+000	-5.65884901e+001	8.06446753e+001	8.06446753e+001	1.61275332e+000	1.61275332e+000
5.04000000e-001	-5.64960284e+001	3.49187175e+001	3.49187175e+001	-4.66463204e+001	-4.66463204e+001	-6.09205942e+001	7.19956680e+001	7.19956680e+001	-5.42811750e+000	-5.42811750e+000
5.05000000e-001	-7.12801046e+001	-4.92594860e+001	-4.92594860e+001	-5.03713143e+000	-5.03713143e+000	-5.60240297e+001	6.49881390e+001	6.49881390e+001	2.84049273e+001	2.84049273e+001
5.06000000e-001	-6.57404728e+001	-1.49887412e+001	-1.49887412e+001	1.41631575e+001	1.41631575e+001	-6.72290447e+001	8.00785819e+001	8.00785819e+001	3.57506771e+000	3.57506771e+000
5.07000000e-001	-5.83012924e+001	-2.23179219e+001	-2.23179219e+001	3.07191419e+001	3.07191419e+001	-5.95755390e+001	7.94191410e+001	7.94191410e+001	-8.77804145e+000	-8.77804145e+000
5.08000000e-001	-5.89667236e+001	7.70592436e+001	7.70592436e+001	-1.79870460e+000	-1.79870460e+000	-5.60858583e+001	4.37194943e+001	4.37194943e+001	3.50896189e+001	3.50896189e+001
5.09000000e-001	-5.74580801e+001	-2.07117575e+001	-2.07117575e+001	-3.22212856e+001	-3.22212856e+001	-5.21429782e+001	7.12178128e+001	7.12178128e+001	5.16763071e+001	5.16763071e+001
5.10000000e-001	-5.99666031e+001	2.99465268e+001	2.99465268e+001	2.14150530e+001	2.14150530e+001	-5.53423875e+001	-8.04620502e+001	9.95379498e+001	-2.43752322e+001	-2.43752322e+001
5.11000000e-001	-6.20438449e+001	4.63074839e+001	4.63074839e+001	1.10815453e+001	1.10815453e+001	-5.98462615e+001	5.52686008e+001	5.52686008e+001	1.81336348e+001	1.81336348e+001
