Frequency 	 |S21| 	 Phase(S21) 	 ExtPhase(S21) 	 CorPhase(S21)	 ExtCorPhase(S21)	 |S12| 	 Phase(S12)	 ExtPhase(S12) 	 CorPhase(S12)	 ExtCorPhase(S12)
GHz 	 dB 	 deg 	 deg 	 deg	 deg	 dB 	 deg 	 deg 	 deg	 deg
5.00000000e-001	-5.92336575e+001	4.34068727e+001	4.34068727e+001	2.04117606e+001	2.04117606e+001	-5.88664720e+001	-3.97991883e+001	-3.97991883e+001	-2.81513175e+001	-2.81513175e+001
5.01000000e-001	-6.01720806e+001	-8.69474969e+000	-8.69474969e+000	-2.20153436e+001	-2.20153436e+001	-5.90746273e+001	9.82021920e-001	9.82021920e-001	-3.10504916e+001	-3.10504916e+001
5.02000000e-001	-6.21865043e+001	-2.81134401e+000	-2.81134401e+000	2.08901761e+001	2.08901761e+001	-6.58294305e+001	-8.54636337e+001	-8.54636337e+001	3.31929442e-002	3.31929442e-002
5.03000000e-001	-6.24037137e+001	-6.49929244e+001	-6.49929244e+001	-1.13244918e+001	-1.13244918e+001	-6.51588770e+001	8.05952013e+001	-9.94047987e+001	3.55344579e-001	3.55344579e-001
5.04000000e-001	-5.21551275e+001	3.63604181e+001	3.63604181e+001	-5.92032484e+001	-5.92032484e+001	-5.62946668e+001	4.79759793e+001	-1.32024021e+002	1.07307001e+001	1.07307001e+001
5.05000000e-001	-6.58122624e+001	6.22212358e+001	6.22212358e+001	4.32268962e+000	4.32268962e+000	-6.37455220e+001	7.84027166e+001	-1.01597283e+002	2.54356528e+000	2.54356528e+000
5.06000000e-001	-6.66299027e+001	8.42264436e+001	8.42264436e+001	-2.66896252e+000	-2.66896252e+000	-5.90277018e+001	-6.67661369e+001	-6.67661369e+001	-1.07193993e+001	-1.07193993e+001
5.07000000e-001	-6.97072341e+001	-2.90871240e+001	-2.90871240e+001	-9.87588610e+000	-9.87588610e+000	-5.53865730e+001	1.67470187e+001	1.67470187e+001	3.68810029e+001	3.68810029e+001
5.08000000e-001	-6.23967917e+001	-4.70399056e+001	-4.70399056e+001	1.60995206e+001	1.60995206e+001	-6.88107658e+001	-5.79223383e+001	-5.79223383e+001	4.75621435e+000	4.75621435e+000
5.09000000e-001	-6.41540645e+001	1.13161319e+001	1.13161319e+001	1.54939253e+001	1.54939253e+001	-6.42259235e+001	-4.74973017e+001	-4.74973017e+001	-1.09952143e+001	-1.09952143e+001
5.10000000e-001	-5.88569677e+001	1.97718299e+001	1.97718299e+001	2.78201822e+001	2.78201822e+001	-6.12292000e+001	3.01049561e+001	3.01049561e+001	-1.32230339e+001	-1.32230339e+001
5.11000000e-001	-5.41234726e+001	-6.04322104e+000	-6.04322104e+000	4.59125893e+001	4.59125893e+001	-6.36288800e+001	3.72273774e+001	3.72273774e+001	1.39129721e+001	1.39129721e+001
5.12000000e-001	-6.29257516e+001	5.73445193e+001	5.73445193e+001	-3.13738193e+000	-3.13738193e+000	-6.88144003e+001	-9.22008206e+000	-9.22008206e+000	-9.88926450e+000	-9.88926450e+000
5.13000000e-001	-6.08508447e+001	-3.59559418e+001	-3.59559418e+001	2.24098504e+001	2.24098504e+001	-6.07831550e+001	-7.93654567e+001	-7.93654567e+001	1.10603570e+001	1.10603570e+001
5.14000000e-001	-5.90303233e+001	1.44441751e+001	1.44441751e+001	-2.85950599e+001	-2.85950599e+001	-6.27431231e+001	6.01934283e+001	-1.19806572e+002	5.60759996e+000	5.60759996e+000
5.15000000e-001	-5.46790244e+001	-8.64733728e+001	-8.64733728e+001	2.73747991e-001	2.73747991e-001	-5.59857515e+001	8.31262694e+001	-9.68737306e+001	-1.11832659e+001	-1.11832659e+001
5.16000000e-001	-6.92370773e+001	4.42060768e+001	-1.35793923e+002	-4.49629799e+000	-4.49629799e+000	-5.50401792e+001	2.10305032e+001	-1.58969497e+002	3.38150321e+001	3.38150321e+001
5.17000000e-001	-6.41544437e+001	7.71675866e+001	-1.02832413e+002	1.09463777e+001	1.09463777e+001	-6.79730630e+001	-4.85717955e+001	-2.28571796e+002	-1.52653029e+001	-1.52653029e+001
5.18000000e-001	-5.97684169e+001	8.27538816e+001	-9.72461184e+001	6.06052484e-002	6.06052484e-002	-5.62320424e+001	-8.21454696e+001	-2.62145470e+002	-1.14850467e+001	-1.14850467e+001
5.19000000e-001	-5.55670984e+001	-1.46971514e+001	-1.94697151e+002	3.49937712e+001	3.49937712e+001	-6.56249994e+001	2.76081642e+001	-1.52391836e+002	1.13437766e+001	1.13437766e+001
5.20000000e-001	-5.76050487e+001	-5.83668311e+001	-2.38366831e+002	-1.90637805e+001	-1.90637805e+001	-6.44085484e+001	-1.37137145e+001	-1.93713714e+002	1.80662263e+001	1.80662263e+001
5.21000000e-001	-6.17350247e+001	1.71671991e+001	-1.62832801e+002	-2.18086765e+001	-2.18086765e+001	-5.94838482e+001	4.61053215e+001	-1.33894679e+002	2.19760166e+001	2.19760166e+001
5.22000000e-001	-6.47706178e+001	4.77129485e+001	-1.32287051e+002	-2.54340115e+001	-2.54340115e+001	-5.82001646e+001	5.31623608e+001	-1.26837639e+002	-1.78869689e+001	-1.78869689e+001
5.23000000e-001	-5.50480555e+001	4.18144652e+001	-1.38185535e+002	2.76636184e+001	2.76636184e+001	-6.07874223e+001	-2.62084587e+001	-2.06208459e+002	-3.10723127e+001	-3.10723127e+001
5.24000000e-001	-5.56094315e+001	-2.35707712e+001	-2.03570771e+002	3.33008656e+001	3.33008656e+001	-5.52964643e+001	-4.48483498e+001	-2.24848350e+002	4.72863916e+001	4.72863916e+001
5.25000000e-001	-6.47150970e+001	7.75605366e+001	-1.02439463e+002	-6.19618251e+000	-6.19618251e+000	-6.95817063e+001	3.29982148e+001	-1.47001785e+002	-8.75192525e+000	-8.75192525e+000
5.26000000e-001	-6.04782877e+001	3.65368515e+001	-1.43463149e+002	1.42781479e+001	1.42781479e+001	-6.01900718e+001	7.30745691e+001	-1.06925431e+002	2.64992825e+000	2.64992825e+000
5.27000000e-001	-6.33596093e+001	7.72596165e+001	-1.02740384e+002	5.64270630e+000	5.64270630e+000	-6.37968159e+001	7.36863635e+001	-1.06313637e+002	-1.07439778e+000	-1.07439778e+000
