Frequency	 |S11|	 Phase(S11)	 ExtPh(S11)	 |S21|	 Phase(S21)	 ExtPh(S21)	 |S12|	 Phase(S12)	 ExtPh(S12)	 |S22|	 Phase(S22)	 ExtPh(S22) 
5.000000e-001	-1.139501e+000	-4.397174e+000	-4.397174e+000	-6.684103e+001	3.518819e+001	3.518819e+001	-5.427062e+001	-8.661474e+001	-8.661474e+001	-1.169652e+000	-3.859204e+000	-3.859204e+000	
5.010000e-001	-1.139549e+000	-4.370263e+000	-4.370263e+000	-5.906434e+001	-8.731049e+001	-8.731049e+001	-5.954859e+001	4.845893e+001	4.845893e+001	-1.167388e+000	-3.846786e+000	-3.846786e+000	
5.020000e-001	-1.149880e+000	-4.340289e+000	-4.340289e+000	-5.795302e+001	4.761935e+001	4.761935e+001	-5.731224e+001	8.287983e+001	8.287983e+001	-1.155372e+000	-3.992005e+000	-3.992005e+000	
5.030000e-001	-1.150847e+000	-4.464472e+000	-4.464472e+000	-6.799492e+001	2.278974e+001	2.278974e+001	-6.250660e+001	6.733035e+001	6.733035e+001	-1.183409e+000	-3.960103e+000	-3.960103e+000	
5.040000e-001	-1.138690e+000	-4.467980e+000	-4.467980e+000	-5.446963e+001	-7.379150e+001	-7.379150e+001	-5.778357e+001	-7.758252e+001	1.024175e+002	-1.173437e+000	-3.946279e+000	-3.946279e+000	
5.050000e-001	-1.153916e+000	-4.354452e+000	-4.354452e+000	-6.256480e+001	-5.436677e+001	-5.436677e+001	-5.512120e+001	-8.358165e+001	9.641835e+001	-1.162392e+000	-4.018630e+000	-4.018630e+000	
5.060000e-001	-1.152354e+000	-4.395946e+000	-4.395946e+000	-5.820339e+001	4.976165e+001	4.976165e+001	-6.467898e+001	6.016871e+001	6.016871e+001	-1.172568e+000	-3.988629e+000	-3.988629e+000	
5.070000e-001	-1.156591e+000	-4.300536e+000	-4.300536e+000	-6.333736e+001	-5.384104e+001	-5.384104e+001	-5.780843e+001	7.507844e+001	7.507844e+001	-1.166452e+000	-4.030459e+000	-4.030459e+000	
5.080000e-001	-1.153990e+000	-4.385199e+000	-4.385199e+000	-5.642129e+001	4.352327e+001	4.352327e+001	-5.755428e+001	8.939681e+001	8.939681e+001	-1.171652e+000	-3.980405e+000	-3.980405e+000	
5.090000e-001	-1.147382e+000	-4.468065e+000	-4.468065e+000	-5.466331e+001	8.715730e+001	8.715730e+001	-6.081087e+001	8.782180e+001	8.782180e+001	-1.146070e+000	-4.068550e+000	-4.068550e+000	
