Frequency	 |S11|	 Phase(S11)	 ExtPh(S11)	 |S21|	 Phase(S21)	 ExtPh(S21)	 |S12|	 Phase(S12)	 ExtPh(S12)	 |S22|	 Phase(S22)	 ExtPh(S22) 
5.000000e-001	-1.766629e+000	-5.812313e+000	-5.812313e+000	-5.113000e+001	8.479918e+001	8.479918e+001	-5.497578e+001	-3.668085e+001	-3.668085e+001	-1.750459e+000	-5.360273e+000	-5.360273e+000	
5.010000e-001	-1.761644e+000	-5.873949e+000	-5.873949e+000	-5.516215e+001	7.446796e+001	7.446796e+001	-5.500269e+001	-7.921469e+001	-7.921469e+001	-1.774711e+000	-5.468602e+000	-5.468602e+000	
5.020000e-001	-1.766929e+000	-5.901081e+000	-5.901081e+000	-6.215431e+001	6.852268e+001	6.852268e+001	-5.246345e+001	4.783186e+001	4.783186e+001	-1.749932e+000	-5.555245e+000	-5.555245e+000	
5.030000e-001	-1.764321e+000	-5.804905e+000	-5.804905e+000	-5.287365e+001	6.432190e+001	6.432190e+001	-5.555162e+001	6.870173e+001	6.870173e+001	-1.761128e+000	-5.312136e+000	-5.312136e+000	
5.040000e-001	-1.779977e+000	-5.877221e+000	-5.877221e+000	-5.374996e+001	5.868654e+001	5.868654e+001	-5.867533e+001	5.874639e+001	5.874639e+001	-1.750993e+000	-5.430448e+000	-5.430448e+000	
5.050000e-001	-1.764031e+000	-5.782643e+000	-5.782643e+000	-5.517418e+001	-8.095091e+001	-8.095091e+001	-7.676751e+001	4.903406e+001	4.903406e+001	-1.761592e+000	-5.416405e+000	-5.416405e+000	
5.060000e-001	-1.766629e+000	-5.897783e+000	-5.897783e+000	-5.886368e+001	-7.934283e+001	-7.934283e+001	-6.691940e+001	8.299120e+001	8.299120e+001	-1.763221e+000	-5.551231e+000	-5.551231e+000	
5.070000e-001	-1.778637e+000	-5.912007e+000	-5.912007e+000	-5.635531e+001	8.096229e+001	-9.903771e+001	-5.678293e+001	8.800399e+001	8.800399e+001	-1.766007e+000	-5.641085e+000	-5.641085e+000	
5.080000e-001	-1.748675e+000	-5.964099e+000	-5.964099e+000	-6.041599e+001	8.383655e+001	-9.616345e+001	-6.399804e+001	8.640456e+001	8.640456e+001	-1.747837e+000	-5.545631e+000	-5.545631e+000	
5.090000e-001	-1.775027e+000	-6.041788e+000	-6.041788e+000	-5.267368e+001	6.894014e+001	-1.110599e+002	-5.340525e+001	-8.427511e+001	9.572489e+001	-1.746088e+000	-5.529949e+000	-5.529949e+000	
5.100000e-001	-1.754969e+000	-5.890577e+000	-5.890577e+000	-5.251617e+001	-8.311372e+001	-8.311372e+001	-5.175808e+001	8.461310e+001	8.461310e+001	-1.777757e+000	-5.531519e+000	-5.531519e+000	
5.110000e-001	-1.768745e+000	-6.078540e+000	-6.078540e+000	-5.647951e+001	7.296357e+001	-1.070364e+002	-5.194788e+001	7.018367e+001	7.018367e+001	-1.765610e+000	-5.507572e+000	-5.507572e+000	
5.120000e-001	-1.756221e+000	-5.901559e+000	-5.901559e+000	-5.478706e+001	7.219156e+001	-1.078084e+002	-5.818836e+001	-7.782194e+001	1.021781e+002	-1.761295e+000	-5.636826e+000	-5.636826e+000	
5.130000e-001	-1.759049e+000	-5.873947e+000	-5.873947e+000	-5.666740e+001	7.692243e+001	-1.030776e+002	-5.152438e+001	5.127064e+001	2.312706e+002	-1.750597e+000	-5.577108e+000	-5.577108e+000	
5.140000e-001	-1.766227e+000	-5.981960e+000	-5.981960e+000	-5.442408e+001	5.692438e+001	-1.230756e+002	-5.338644e+001	5.484789e+001	2.348479e+002	-1.768511e+000	-5.618160e+000	-5.618160e+000	
5.150000e-001	-1.770421e+000	-6.059541e+000	-6.059541e+000	-5.801798e+001	4.433155e+001	-1.356684e+002	-5.516655e+001	8.162311e+001	2.616231e+002	-1.754617e+000	-5.701424e+000	-5.701424e+000	
5.160000e-001	-1.760354e+000	-6.023977e+000	-6.023977e+000	-5.594736e+001	-8.771170e+001	-2.677117e+002	-5.535571e+001	-7.908168e+001	2.809183e+002	-1.763742e+000	-5.653968e+000	-5.653968e+000	
5.170000e-001	-1.771773e+000	-6.102783e+000	-6.102783e+000	-5.651830e+001	-6.017175e+001	-2.401717e+002	-5.550182e+001	-7.998437e+001	2.800156e+002	-1.760599e+000	-5.643789e+000	-5.643789e+000	
5.180000e-001	-1.754429e+000	-6.189078e+000	-6.189078e+000	-5.695162e+001	-7.385194e+001	-2.538519e+002	-5.955602e+001	-8.400327e+001	2.759967e+002	-1.772340e+000	-5.624373e+000	-5.624373e+000	
5.190000e-001	-1.755988e+000	-6.056772e+000	-6.056772e+000	-5.686575e+001	3.482311e+001	-1.451769e+002	-5.658583e+001	6.364464e+001	2.436446e+002	-1.750356e+000	-5.655270e+000	-5.655270e+000	
5.200000e-001	-1.774284e+000	-6.054731e+000	-6.054731e+000	-5.552105e+001	-8.193669e+001	-2.619367e+002	-6.039695e+001	4.183835e+001	2.218383e+002	-1.749122e+000	-5.726218e+000	-5.726218e+000	
5.210000e-001	-1.773506e+000	-6.119126e+000	-6.119126e+000	-5.414129e+001	-8.804112e+001	-2.680411e+002	-5.319680e+001	-1.823828e+001	1.617617e+002	-1.764544e+000	-5.715939e+000	-5.715939e+000	
5.220000e-001	-1.762206e+000	-6.044277e+000	-6.044277e+000	-5.325347e+001	-7.556311e+001	-2.555631e+002	-5.759152e+001	-6.468312e+001	1.153169e+002	-1.758016e+000	-5.821773e+000	-5.821773e+000	
5.230000e-001	-1.765507e+000	-5.878616e+000	-5.878616e+000	-5.000558e+001	7.121592e+001	-2.887841e+002	-5.712696e+001	8.218116e+001	8.218116e+001	-1.770548e+000	-5.714780e+000	-5.714780e+000	
5.240000e-001	-1.758805e+000	-6.138371e+000	-6.138371e+000	-5.952212e+001	5.518203e+001	-3.048180e+002	-5.255645e+001	-7.601223e+001	1.039878e+002	-1.770411e+000	-5.746259e+000	-5.746259e+000	
5.250000e-001	-1.776480e+000	-6.143058e+000	-6.143058e+000	-5.620403e+001	4.239987e+001	-3.176001e+002	-5.252667e+001	-7.605299e+001	1.039470e+002	-1.769730e+000	-5.749723e+000	-5.749723e+000	
5.260000e-001	-1.754149e+000	-6.157693e+000	-6.157693e+000	-5.410390e+001	8.569769e+001	-2.743023e+002	-6.069049e+001	7.801266e+001	7.801266e+001	-1.773530e+000	-5.828643e+000	-5.828643e+000	
5.270000e-001	-1.746223e+000	-6.212479e+000	-6.212479e+000	-5.480447e+001	-5.721670e+001	-2.372167e+002	-5.472665e+001	7.817874e+001	7.817874e+001	-1.746167e+000	-5.835839e+000	-5.835839e+000	
5.280000e-001	-1.769540e+000	-6.132652e+000	-6.132652e+000	-5.568604e+001	6.242291e+001	-1.175771e+002	-5.480697e+001	8.164814e+001	8.164814e+001	-1.765873e+000	-5.754377e+000	-5.754377e+000	
5.290000e-001	-1.765555e+000	-6.220426e+000	-6.220426e+000	-5.467466e+001	-7.767412e+001	-7.767412e+001	-5.270386e+001	-7.054577e+001	1.094542e+002	-1.763216e+000	-5.826756e+000	-5.826756e+000	
5.300000e-001	-1.753899e+000	-6.232180e+000	-6.232180e+000	-5.889014e+001	8.256450e+001	-9.743550e+001	-5.979498e+001	7.682256e+001	7.682256e+001	-1.757352e+000	-5.804258e+000	-5.804258e+000	
5.310000e-001	-1.771974e+000	-6.309004e+000	-6.309004e+000	-5.233904e+001	7.297586e+001	-1.070241e+002	-5.325522e+001	7.779456e+001	7.779456e+001	-1.747366e+000	-5.935289e+000	-5.935289e+000	
5.320000e-001	-1.772292e+000	-6.217346e+000	-6.217346e+000	-6.444612e+001	-7.091656e+001	-7.091656e+001	-5.876049e+001	5.617924e+001	5.617924e+001	-1.766378e+000	-5.853249e+000	-5.853249e+000	
5.330000e-001	-1.766647e+000	-6.352163e+000	-6.352163e+000	-6.625625e+001	5.795420e+001	5.795420e+001	-5.545311e+001	-8.875144e+001	9.124856e+001	-1.756953e+000	-5.799647e+000	-5.799647e+000	
5.340000e-001	-1.756560e+000	-6.293114e+000	-6.293114e+000	-5.453719e+001	-8.831757e+001	9.168243e+001	-5.832253e+001	-7.198774e+001	1.080123e+002	-1.744273e+000	-5.878986e+000	-5.878986e+000	
5.350000e-001	-1.763099e+000	-6.329032e+000	-6.329032e+000	-5.459009e+001	6.841301e+001	6.841301e+001	-5.482053e+001	6.926150e+001	6.926150e+001	-1.773336e+000	-5.925463e+000	-5.925463e+000	
5.360000e-001	-1.758451e+000	-6.275982e+000	-6.275982e+000	-5.432776e+001	-8.565289e+001	9.434711e+001	-5.477790e+001	-8.153724e+001	9.846276e+001	-1.765420e+000	-5.930125e+000	-5.930125e+000	
5.370000e-001	-1.761353e+000	-6.295666e+000	-6.295666e+000	-5.419338e+001	5.726368e+001	5.726368e+001	-5.902624e+001	6.711976e+001	6.711976e+001	-1.770208e+000	-5.894439e+000	-5.894439e+000	
5.380000e-001	-1.755964e+000	-6.382410e+000	-6.382410e+000	-5.409208e+001	6.510044e+001	6.510044e+001	-5.560106e+001	8.573772e+001	8.573772e+001	-1.765732e+000	-5.874055e+000	-5.874055e+000	
5.390000e-001	-1.757629e+000	-6.339161e+000	-6.339161e+000	-5.789778e+001	8.876245e+001	8.876245e+001	-5.546427e+001	5.176819e+001	5.176819e+001	-1.756284e+000	-5.977219e+000	-5.977219e+000	
5.400000e-001	-1.757197e+000	-6.325619e+000	-6.325619e+000	-5.580281e+001	-6.622863e+001	1.137714e+002	-5.671703e+001	-7.766004e+001	-7.766004e+001	-1.763821e+000	-5.899753e+000	-5.899753e+000	
5.410000e-001	-1.765140e+000	-6.304219e+000	-6.304219e+000	-5.966994e+001	-7.408332e+001	1.059167e+002	-5.311133e+001	7.102831e+001	-1.089717e+002	-1.754474e+000	-5.950233e+000	-5.950233e+000	
5.420000e-001	-1.752506e+000	-6.336627e+000	-6.336627e+000	-5.487902e+001	8.374613e+001	8.374613e+001	-5.707834e+001	7.960175e+001	-1.003983e+002	-1.759722e+000	-5.950562e+000	-5.950562e+000	
5.430000e-001	-1.756364e+000	-6.382744e+000	-6.382744e+000	-5.034317e+001	6.459142e+001	6.459142e+001	-6.051900e+001	8.845207e+001	-9.154793e+001	-1.765214e+000	-6.071353e+000	-6.071353e+000	
5.440000e-001	-1.770607e+000	-6.367581e+000	-6.367581e+000	-5.602559e+001	7.196518e+001	7.196518e+001	-5.731216e+001	8.253740e+001	-9.746260e+001	-1.763375e+000	-6.022786e+000	-6.022786e+000	
5.450000e-001	-1.759241e+000	-6.304486e+000	-6.304486e+000	-5.401290e+001	6.261655e+001	6.261655e+001	-5.507662e+001	6.533974e+001	-1.146603e+002	-1.760984e+000	-6.027083e+000	-6.027083e+000	
5.460000e-001	-1.751777e+000	-6.442333e+000	-6.442333e+000	-5.443012e+001	7.159894e+001	7.159894e+001	-5.900183e+001	8.882455e+001	-9.117545e+001	-1.747140e+000	-5.949609e+000	-5.949609e+000	
5.470000e-001	-1.775051e+000	-6.306040e+000	-6.306040e+000	-5.443341e+001	-5.715767e+001	-5.715767e+001	-5.391584e+001	6.493809e+001	-1.150619e+002	-1.740530e+000	-5.992687e+000	-5.992687e+000	
5.480000e-001	-1.775742e+000	-6.459527e+000	-6.459527e+000	-5.608133e+001	7.942635e+001	7.942635e+001	-5.710631e+001	-8.889699e+001	-8.889699e+001	-1.761499e+000	-5.988551e+000	-5.988551e+000	
5.490000e-001	-1.762871e+000	-6.388831e+000	-6.388831e+000	-5.201361e+001	-8.534140e+001	9.465860e+001	-5.711513e+001	7.392293e+001	-1.060771e+002	-1.765035e+000	-6.036507e+000	-6.036507e+000	
5.500000e-001	-1.775000e+000	-6.407061e+000	-6.407061e+000	-5.275044e+001	5.871956e+001	5.871956e+001	-6.231146e+001	8.251077e+001	-9.748923e+001	-1.773865e+000	-6.067416e+000	-6.067416e+000	
5.510000e-001	-1.762413e+000	-6.403464e+000	-6.403464e+000	-5.540270e+001	8.674370e+001	8.674370e+001	-5.414490e+001	8.722928e+001	-9.277072e+001	-1.761730e+000	-6.102030e+000	-6.102030e+000	
5.520000e-001	-1.772059e+000	-6.421660e+000	-6.421660e+000	-5.564353e+001	8.483176e+001	8.483176e+001	-5.188382e+001	7.013837e+001	-1.098616e+002	-1.751525e+000	-6.002605e+000	-6.002605e+000	
5.530000e-001	-1.774737e+000	-6.536576e+000	-6.536576e+000	-5.782769e+001	8.614035e+001	8.614035e+001	-5.460659e+001	8.508642e+001	-9.491358e+001	-1.745760e+000	-6.045813e+000	-6.045813e+000	
5.540000e-001	-1.766078e+000	-6.344243e+000	-6.344243e+000	-5.442524e+001	-7.560802e+001	1.043920e+002	-5.216727e+001	6.363811e+001	-1.163619e+002	-1.774356e+000	-6.037826e+000	-6.037826e+000	
5.550000e-001	-1.756404e+000	-6.515413e+000	-6.515413e+000	-5.413926e+001	7.792140e+001	7.792140e+001	-5.563603e+001	7.971934e+001	-1.002807e+002	-1.766787e+000	-6.154321e+000	-6.154321e+000	
5.560000e-001	-1.774816e+000	-6.450197e+000	-6.450197e+000	-5.611622e+001	8.622811e+001	8.622811e+001	-5.358093e+001	6.118959e+001	-1.188104e+002	-1.754459e+000	-6.018082e+000	-6.018082e+000	
5.570000e-001	-1.780590e+000	-6.454078e+000	-6.454078e+000	-5.991410e+001	3.955151e+001	3.955151e+001	-5.490907e+001	-8.027953e+001	-8.027953e+001	-1.754421e+000	-6.055821e+000	-6.055821e+000	
5.580000e-001	-1.758208e+000	-6.443622e+000	-6.443622e+000	-5.252956e+001	7.277428e+001	7.277428e+001	-5.119031e+001	6.711959e+001	-1.128804e+002	-1.747297e+000	-6.080087e+000	-6.080087e+000	
