Frequency	 |S11|	 Phase(S11)	 ExtPh(S11)	 |S21|	 Phase(S21)	 ExtPh(S21)	 |S12|	 Phase(S12)	 ExtPh(S12)	 |S22|	 Phase(S22)	 ExtPh(S22) 
5.000000e-001	-9.710692e-001	-2.125171e+000	-2.125171e+000	-5.627991e+001	-7.192465e+001	-7.192465e+001	-5.865589e+001	8.816181e+001	8.816181e+001	-5.525705e-001	-1.729957e+000	-1.729957e+000	
5.010000e-001	-9.713625e-001	-2.336120e+000	-2.336120e+000	-5.402238e+001	3.705974e+001	3.705974e+001	-6.748255e+001	7.817947e+000	7.817947e+000	-5.559398e-001	-1.835086e+000	-1.835086e+000	
5.020000e-001	-9.700014e-001	-2.177166e+000	-2.177166e+000	-5.473092e+001	-5.907141e+001	-5.907141e+001	-5.574693e+001	8.484533e+001	8.484533e+001	-5.471971e-001	-1.900114e+000	-1.900114e+000	
5.030000e-001	-9.803696e-001	-2.113550e+000	-2.113550e+000	-7.513088e+001	-2.523745e+001	-2.523745e+001	-5.675373e+001	-8.349918e+001	9.650082e+001	-5.608462e-001	-1.910501e+000	-1.910501e+000	
5.040000e-001	-9.708125e-001	-2.156043e+000	-2.156043e+000	-5.152760e+001	8.247455e+001	8.247455e+001	-5.493441e+001	6.409816e+001	6.409816e+001	-5.484695e-001	-1.867656e+000	-1.867656e+000	
5.050000e-001	-9.861404e-001	-2.124946e+000	-2.124946e+000	-5.370214e+001	7.154766e+001	7.154766e+001	-5.421180e+001	-8.185568e+001	9.814432e+001	-5.694100e-001	-1.775943e+000	-1.775943e+000	
5.060000e-001	-9.849673e-001	-2.230776e+000	-2.230776e+000	-5.759615e+001	7.041897e+001	7.041897e+001	-5.869054e+001	8.397200e+001	8.397200e+001	-5.631479e-001	-1.772863e+000	-1.772863e+000	
5.070000e-001	-9.764440e-001	-2.233663e+000	-2.233663e+000	-5.802991e+001	7.400574e+001	7.400574e+001	-6.284309e+001	-8.792948e+001	9.207052e+001	-5.576928e-001	-1.871318e+000	-1.871318e+000	
5.080000e-001	-9.951051e-001	-2.243946e+000	-2.243946e+000	-5.126762e+001	-7.069784e+001	1.093022e+002	-5.879423e+001	2.516513e+001	2.051651e+002	-5.366954e-001	-1.836633e+000	-1.836633e+000	
5.090000e-001	-9.820789e-001	-2.190441e+000	-2.190441e+000	-5.530390e+001	4.224470e+001	2.222447e+002	-5.843198e+001	-5.341946e+001	1.265805e+002	-5.578032e-001	-1.865537e+000	-1.865537e+000	
5.100000e-001	-9.732168e-001	-2.278919e+000	-2.278919e+000	-5.503750e+001	8.463230e+001	2.646323e+002	-5.607380e+001	6.412043e+001	2.441204e+002	-5.597349e-001	-1.826759e+000	-1.826759e+000	
5.110000e-001	-9.766867e-001	-2.224452e+000	-2.224452e+000	-5.548032e+001	8.156327e+001	2.615633e+002	-5.532994e+001	8.380640e+001	2.638064e+002	-5.578065e-001	-1.953717e+000	-1.953717e+000	
5.120000e-001	-9.765925e-001	-2.248199e+000	-2.248199e+000	-5.230151e+001	8.141473e+001	2.614147e+002	-5.745483e+001	-5.441573e+001	1.255843e+002	-5.535753e-001	-1.889665e+000	-1.889665e+000	
5.130000e-001	-9.871939e-001	-2.221315e+000	-2.221315e+000	-6.347474e+001	-6.750076e+001	2.924992e+002	-5.521231e+001	7.087597e+001	2.508760e+002	-5.531847e-001	-1.891363e+000	-1.891363e+000	
5.140000e-001	-9.894638e-001	-2.267323e+000	-2.267323e+000	-5.763478e+001	-7.290755e+001	2.870924e+002	-5.588488e+001	8.251557e+001	2.625156e+002	-5.495917e-001	-1.852798e+000	-1.852798e+000	
5.150000e-001	-9.878433e-001	-2.280365e+000	-2.280365e+000	-5.764377e+001	6.834141e+001	2.483414e+002	-5.741714e+001	-8.400572e+001	2.759943e+002	-5.587596e-001	-2.000127e+000	-2.000127e+000	
5.160000e-001	-9.761674e-001	-2.342311e+000	-2.342311e+000	-5.519013e+001	5.739793e+001	2.373979e+002	-6.098997e+001	7.636220e+001	2.563622e+002	-5.482950e-001	-1.922476e+000	-1.922476e+000	
5.170000e-001	-9.782235e-001	-2.293932e+000	-2.293932e+000	-5.423733e+001	8.104967e+001	2.610497e+002	-5.928953e+001	-8.759452e+001	2.724055e+002	-5.677604e-001	-1.936898e+000	-1.936898e+000	
5.180000e-001	-9.761618e-001	-2.301725e+000	-2.301725e+000	-5.608522e+001	7.825297e+001	2.582530e+002	-5.630460e+001	8.615984e+001	2.661598e+002	-5.555741e-001	-1.906585e+000	-1.906585e+000	
5.190000e-001	-9.765388e-001	-2.259547e+000	-2.259547e+000	-5.755868e+001	-8.952126e+001	2.704787e+002	-5.626429e+001	-8.827024e+001	2.717298e+002	-5.454249e-001	-1.918402e+000	-1.918402e+000	
5.200000e-001	-9.725658e-001	-2.259754e+000	-2.259754e+000	-5.083764e+001	-7.993123e+001	2.800688e+002	-5.895510e+001	-6.169453e+001	2.983055e+002	-5.529486e-001	-1.966601e+000	-1.966601e+000	
5.210000e-001	-9.724971e-001	-2.401543e+000	-2.401543e+000	-6.033237e+001	-6.833084e+001	2.916692e+002	-6.013567e+001	7.607078e+001	4.360708e+002	-5.576048e-001	-2.009654e+000	-2.009654e+000	
5.220000e-001	-9.710317e-001	-2.206986e+000	-2.206986e+000	-5.485129e+001	8.508833e+001	2.650883e+002	-5.822809e+001	-7.573779e+001	4.642622e+002	-5.584661e-001	-2.074739e+000	-2.074739e+000	
5.230000e-001	-9.785757e-001	-2.321062e+000	-2.321062e+000	-5.538478e+001	8.331896e+001	2.633190e+002	-5.948527e+001	-4.707984e+001	4.929202e+002	-5.618460e-001	-1.960627e+000	-1.960627e+000	
