Frequency	 |S11|	 Phase(S11)	 ExtPh(S11)	 |S21|	 Phase(S21)	 ExtPh(S21)	 |S12|	 Phase(S12)	 ExtPh(S12)	 |S22|	 Phase(S22)	 ExtPh(S22) 
5.000000e-001	-7.336065e-001	-2.165624e+000	-2.165624e+000	-6.095923e+001	-8.206822e+001	-8.206822e+001	-5.790228e+001	7.399841e+001	7.399841e+001	-5.555316e-001	-1.760260e+000	-1.760260e+000	
5.010000e-001	-7.466263e-001	-2.162790e+000	-2.162790e+000	-6.121146e+001	5.738848e+001	5.738848e+001	-5.789819e+001	-7.626773e+001	1.037323e+002	-5.582635e-001	-1.861784e+000	-1.861784e+000	
5.020000e-001	-7.429165e-001	-2.289976e+000	-2.289976e+000	-5.501332e+001	7.486636e+001	7.486636e+001	-5.420785e+001	-5.232906e+001	1.276709e+002	-5.380828e-001	-1.887083e+000	-1.887083e+000	
5.030000e-001	-7.539374e-001	-2.222771e+000	-2.222771e+000	-5.766593e+001	5.196678e+001	5.196678e+001	-5.417963e+001	7.967056e+001	2.596706e+002	-5.486662e-001	-1.881288e+000	-1.881288e+000	
5.040000e-001	-7.544978e-001	-2.267857e+000	-2.267857e+000	-5.923525e+001	-7.928333e+001	-7.928333e+001	-6.321841e+001	-4.816624e+001	1.318338e+002	-5.706067e-001	-1.880599e+000	-1.880599e+000	
5.050000e-001	-7.352585e-001	-2.225090e+000	-2.225090e+000	-6.214814e+001	3.067052e+001	3.067052e+001	-5.945775e+001	8.588751e+001	2.658875e+002	-5.710966e-001	-1.882972e+000	-1.882972e+000	
5.060000e-001	-7.498314e-001	-2.246901e+000	-2.246901e+000	-5.551896e+001	-8.441080e+001	-8.441080e+001	-5.640777e+001	-8.579986e+001	2.742001e+002	-5.670493e-001	-1.856455e+000	-1.856455e+000	
5.070000e-001	-7.464877e-001	-2.231847e+000	-2.231847e+000	-7.049949e+001	-8.906671e+001	-8.906671e+001	-5.585634e+001	-6.760649e+001	2.923935e+002	-5.516187e-001	-1.818044e+000	-1.818044e+000	
5.080000e-001	-7.419897e-001	-2.295661e+000	-2.295661e+000	-5.304256e+001	8.204115e+001	-9.795885e+001	-5.296534e+001	7.670572e+001	2.567057e+002	-5.434482e-001	-1.917124e+000	-1.917124e+000	
5.090000e-001	-7.460877e-001	-2.342766e+000	-2.342766e+000	-5.148581e+001	7.285686e+001	-1.071431e+002	-5.562811e+001	-8.891227e+001	2.710877e+002	-5.591667e-001	-1.927014e+000	-1.927014e+000	
5.100000e-001	-7.262427e-001	-2.276726e+000	-2.276726e+000	-5.221542e+001	7.571741e+001	-1.042826e+002	-5.977425e+001	8.255584e+001	2.625558e+002	-5.608798e-001	-1.892086e+000	-1.892086e+000	
