Frequency 	 |S21| 	 Phase(S21) 	 ExtPhase(S21) 	 CorPhase(S21)	 ExtCorPhase(S21)	 |S12| 	 Phase(S12)	 ExtPhase(S12) 	 CorPhase(S12)	 ExtCorPhase(S12)
GHz 	 dB 	 deg 	 deg 	 deg	 deg	 dB 	 deg 	 deg 	 deg	 deg
5.00000000e-001	-5.42445913e+001	8.57957434e+001	8.57957434e+001	-4.89828178e+001	-4.89828178e+001	-6.72427618e+001	1.54917200e+001	1.54917200e+001	-1.08204830e+001	-1.08204830e+001
5.01000000e-001	-6.48059680e+001	-1.78760669e+001	-1.78760669e+001	2.25570904e+001	2.25570904e+001	-6.34548520e+001	-5.38536040e+000	-5.38536040e+000	3.01270909e+001	3.01270909e+001
5.02000000e-001	-6.97687398e+001	-8.24794067e+001	-8.24794067e+001	-1.48614347e+000	-1.48614347e+000	-5.82371109e+001	-2.47923439e+001	-2.47923439e+001	-4.50900654e+001	-4.50900654e+001
5.03000000e-001	-5.30023904e+001	6.51077043e+000	6.51077043e+000	-7.62329953e+001	-7.62329953e+001	-7.25360836e+001	7.15090232e+000	7.15090232e+000	-8.17858350e+000	-8.17858350e+000
5.04000000e-001	-7.11944747e+001	3.19718716e+001	3.19718716e+001	-8.60167108e+000	-8.60167108e+000	-6.10131143e+001	6.52393484e+001	6.52393484e+001	1.05971894e+001	1.05971894e+001
5.05000000e-001	-6.75619144e+001	1.14153169e+001	1.14153169e+001	1.13426667e+001	1.13426667e+001	-6.26704165e+001	2.81874039e+001	2.81874039e+001	-2.87766709e+001	-2.87766709e+001
5.06000000e-001	-6.53185905e+001	7.17180626e+001	7.17180626e+001	2.54506219e+001	2.54506219e+001	-8.07505727e+001	-5.87813960e+001	-5.87813960e+001	-2.94191653e+000	-2.94191653e+000
5.07000000e-001	-6.24816528e+001	1.62028739e+001	1.62028739e+001	2.93621256e+001	2.93621256e+001	-5.73319559e+001	2.52989896e+001	2.52989896e+001	-3.72758555e+001	-3.72758555e+001
5.08000000e-001	-6.04081229e+001	2.27029735e+001	2.27029735e+001	2.73460277e+001	2.73460277e+001	-5.53058954e+001	3.13495824e+001	3.13495824e+001	-2.75310541e+001	-2.75310541e+001
5.09000000e-001	-5.78844792e+001	2.85314712e+001	2.85314712e+001	-3.16608212e+001	-3.16608212e+001	-6.27752075e+001	-2.42819215e+001	-2.42819215e+001	-2.55791415e+001	-2.55791415e+001
5.10000000e-001	-6.14807280e+001	5.62590686e+001	5.62590686e+001	-1.66342999e+001	-1.66342999e+001	-6.45675590e+001	-6.82722623e+001	-6.82722623e+001	3.18742002e+000	3.18742002e+000
5.11000000e-001	-6.77905934e+001	-8.82727416e+001	9.17272584e+001	6.09408125e-001	6.09408125e-001	-6.67950731e+001	5.76573047e+001	5.76573047e+001	5.61433655e+000	5.61433655e+000
5.12000000e-001	-5.68645809e+001	2.99597249e+001	2.09959725e+002	4.36455459e+001	4.36455459e+001	-6.45287484e+001	3.30120409e+001	3.30120409e+001	2.23936805e+001	2.23936805e+001
5.13000000e-001	-6.16059631e+001	1.42277347e+001	1.94227735e+002	3.43126444e+001	3.43126444e+001	-5.86451559e+001	-3.45537131e+001	-3.45537131e+001	4.32040099e+001	4.32040099e+001
5.14000000e-001	-7.39233120e+001	8.77706604e+001	2.67770660e+002	2.06268199e+000	2.06268199e+000	-6.71747229e+001	-2.59754480e+001	-2.59754480e+001	1.05767094e+001	1.05767094e+001
