Frequency 	 |S21| 	 Phase(S21) 	 ExtPhase(S21) 	 CorPhase(S21)	 ExtCorPhase(S21)	 |S12| 	 Phase(S12)	 ExtPhase(S12) 	 CorPhase(S12)	 ExtCorPhase(S12)
GHz 	 dB 	 deg 	 deg 	 deg	 deg	 dB 	 deg 	 deg 	 deg	 deg
5.00000000e-001	-6.48825719e+001	5.81956694e+001	5.81956694e+001	1.52797445e+001	1.52797445e+001	-6.03248295e+001	-7.54537248e+001	-7.54537248e+001	-1.31070674e+001	-1.31070674e+001
5.01000000e-001	-6.15715456e+001	4.18744381e+001	4.18744381e+001	7.59526518e+000	7.59526518e+000	-6.67450420e+001	-4.43406462e+001	-4.43406462e+001	1.53964532e+001	1.53964532e+001
5.02000000e-001	-5.44177575e+001	-4.99338307e+000	-4.99338307e+000	4.15729172e+001	4.15729172e+001	-5.31701357e+001	-1.45990725e+001	-1.45990725e+001	8.10398218e+001	8.10398218e+001
5.03000000e-001	-6.32333112e+001	2.94982353e+001	2.94982353e+001	-2.14193748e+001	-2.14193748e+001	-7.41349766e+001	-2.62895041e+000	-2.62895041e+000	5.61329869e+000	5.61329869e+000
5.04000000e-001	-5.59653483e+001	5.46827747e+001	5.46827747e+001	2.75358478e+001	2.75358478e+001	-5.70929896e+001	5.34961259e+001	5.34961259e+001	5.45939886e+001	5.45939886e+001
5.05000000e-001	-5.41960347e+001	-5.88922061e+001	-5.88922061e+001	-6.85606693e+001	-6.85606693e+001	-5.61629756e+001	8.35977549e+001	8.35977549e+001	1.35948046e+000	1.35948046e+000
5.06000000e-001	-6.36392224e+001	5.31909547e+001	5.31909547e+001	1.15981169e+001	1.15981169e+001	-6.24895364e+001	-5.68321562e+001	1.23167844e+002	2.30314131e+001	2.30314131e+001
5.07000000e-001	-5.85681014e+001	6.86891901e+001	6.86891901e+001	1.78041736e+001	1.78041736e+001	-6.17081149e+001	3.59019997e+000	1.83590200e+002	3.00065373e+001	3.00065373e+001
5.08000000e-001	-6.69856800e+001	2.09335412e+001	2.09335412e+001	-1.10195972e+001	-1.10195972e+001	-5.81485935e+001	-4.66540898e+001	1.33345910e+002	3.34082692e+001	3.34082692e+001
5.09000000e-001	-6.48096046e+001	5.49786369e+001	5.49786369e+001	-4.76255137e+000	-4.76255137e+000	-5.64978534e+001	-3.30060446e+001	1.46993955e+002	5.66616166e+001	5.66616166e+001
5.10000000e-001	-5.52664837e+001	7.65747268e+001	7.65747268e+001	2.03555978e+000	2.03555978e+000	-6.55512218e+001	4.01062454e+001	2.20106245e+002	1.41227140e+001	1.41227140e+001
5.11000000e-001	-6.29179493e+001	-2.43305139e+001	-2.43305139e+001	4.29468990e+001	4.29468990e+001	-6.29012571e+001	-3.32946510e+001	1.46705349e+002	1.92015217e+001	1.92015217e+001
5.12000000e-001	-6.62728049e+001	-6.45485320e+001	-6.45485320e+001	1.21615206e+001	1.21615206e+001	-5.82742856e+001	2.18071641e+000	1.82180716e+002	5.10073043e+001	5.10073043e+001
5.13000000e-001	-5.60419746e+001	8.48272228e+001	-9.51727772e+001	-5.20580974e-001	-5.20580974e-001	-8.17864343e+001	7.38717854e+001	2.53871785e+002	-6.23138335e-001	-6.23138335e-001
5.14000000e-001	-5.78353713e+001	2.98584262e+001	-1.50141574e+002	3.58128506e+001	3.58128506e+001	-6.27229119e+001	1.01108538e+001	1.90110854e+002	3.85853245e+001	3.85853245e+001
5.15000000e-001	-5.36386528e+001	-3.53354450e+001	-2.15335445e+002	-6.09613516e+001	-6.09613516e+001	-6.06537686e+001	-7.99633621e+001	1.00036638e+002	-2.74343456e+001	-2.74343456e+001
