Frequency	 |S11|	 Phase(S11)	 ExtPh(S11)	 |S21|	 Phase(S21)	 ExtPh(S21)	 |S12|	 Phase(S12)	 ExtPh(S12)	 |S22|	 Phase(S22)	 ExtPh(S22) 
5.000000e-001	-1.076111e+000	-3.557775e+000	-3.557775e+000	-6.450751e+001	5.917033e+001	5.917033e+001	-6.480058e+001	-3.846411e+001	-3.846411e+001	-1.108339e+000	-3.161103e+000	-3.161103e+000	
5.010000e-001	-1.077195e+000	-3.652778e+000	-3.652778e+000	-6.719928e+001	-3.203745e+001	-3.203745e+001	-6.968580e+001	8.172559e+001	8.172559e+001	-1.118086e+000	-3.102925e+000	-3.102925e+000	
5.020000e-001	-1.079648e+000	-3.703945e+000	-3.703945e+000	-5.855250e+001	6.790761e+001	6.790761e+001	-6.330882e+001	4.287659e+001	4.287659e+001	-1.109151e+000	-3.203299e+000	-3.203299e+000	
5.030000e-001	-1.069338e+000	-3.631785e+000	-3.631785e+000	-6.726596e+001	3.162610e+001	3.162610e+001	-5.381869e+001	-8.724957e+001	-8.724957e+001	-1.111379e+000	-3.149321e+000	-3.149321e+000	
5.040000e-001	-1.075391e+000	-3.681972e+000	-3.681972e+000	-5.212484e+001	-7.306779e+001	-7.306779e+001	-7.497057e+001	3.940972e+001	3.940972e+001	-1.115483e+000	-3.117593e+000	-3.117593e+000	
5.050000e-001	-1.064919e+000	-3.592010e+000	-3.592010e+000	-6.267473e+001	5.125875e+001	5.125875e+001	-5.817092e+001	-4.594787e+001	-4.594787e+001	-1.117322e+000	-3.167693e+000	-3.167693e+000	
5.060000e-001	-1.070027e+000	-3.682989e+000	-3.682989e+000	-5.795353e+001	8.441526e+001	8.441526e+001	-5.503059e+001	4.447184e+001	4.447184e+001	-1.097104e+000	-3.246711e+000	-3.246711e+000	
5.070000e-001	-1.082419e+000	-3.670298e+000	-3.670298e+000	-6.993494e+001	-6.992596e+001	1.100740e+002	-6.782872e+001	-8.150323e+001	-8.150323e+001	-1.103755e+000	-3.288041e+000	-3.288041e+000	
5.080000e-001	-1.082543e+000	-3.754102e+000	-3.754102e+000	-6.228830e+001	8.198223e+001	8.198223e+001	-6.470721e+001	-5.751205e+001	-5.751205e+001	-1.119072e+000	-3.177092e+000	-3.177092e+000	
5.090000e-001	-1.066013e+000	-3.767648e+000	-3.767648e+000	-5.559843e+001	6.584361e+001	6.584361e+001	-5.899952e+001	7.443631e+001	7.443631e+001	-1.117925e+000	-3.355168e+000	-3.355168e+000	
5.100000e-001	-1.074324e+000	-3.677702e+000	-3.677702e+000	-6.008894e+001	4.408119e+001	4.408119e+001	-7.552909e+001	-5.050374e+001	-5.050374e+001	-1.109894e+000	-3.192136e+000	-3.192136e+000	
5.110000e-001	-1.078542e+000	-3.683842e+000	-3.683842e+000	-5.871419e+001	-6.781442e+001	-6.781442e+001	-6.312288e+001	4.289903e+001	4.289903e+001	-1.123478e+000	-3.372315e+000	-3.372315e+000	
5.120000e-001	-1.091107e+000	-3.727387e+000	-3.727387e+000	-6.216702e+001	-6.990052e+001	-6.990052e+001	-6.736570e+001	7.866421e+001	7.866421e+001	-1.113225e+000	-3.290942e+000	-3.290942e+000	
5.130000e-001	-1.074735e+000	-3.712219e+000	-3.712219e+000	-6.805396e+001	3.881758e+001	3.881758e+001	-6.090700e+001	-8.196304e+001	9.803696e+001	-1.116961e+000	-3.176983e+000	-3.176983e+000	
5.140000e-001	-1.072249e+000	-3.783720e+000	-3.783720e+000	-6.862754e+001	8.578480e+001	8.578480e+001	-5.422012e+001	8.542600e+001	8.542600e+001	-1.116911e+000	-3.236052e+000	-3.236052e+000	
5.150000e-001	-1.081947e+000	-3.788139e+000	-3.788139e+000	-5.236820e+001	7.488464e+001	7.488464e+001	-6.786773e+001	-1.551922e+001	-1.551922e+001	-1.113291e+000	-3.329458e+000	-3.329458e+000	
5.160000e-001	-1.074272e+000	-3.847484e+000	-3.847484e+000	-5.534396e+001	-7.554929e+001	1.044507e+002	-6.274118e+001	-3.213084e+001	-3.213084e+001	-1.121739e+000	-3.357260e+000	-3.357260e+000	
5.170000e-001	-1.087948e+000	-3.730090e+000	-3.730090e+000	-6.116107e+001	-4.908970e+001	1.309103e+002	-5.542420e+001	7.620594e+001	7.620594e+001	-1.115027e+000	-3.302296e+000	-3.302296e+000	
5.180000e-001	-1.082100e+000	-3.768807e+000	-3.768807e+000	-5.247283e+001	7.613591e+001	2.561359e+002	-5.719252e+001	7.703821e+001	7.703821e+001	-1.108993e+000	-3.322932e+000	-3.322932e+000	
5.190000e-001	-1.081704e+000	-3.801616e+000	-3.801616e+000	-5.859586e+001	5.875070e+001	2.387507e+002	-7.199200e+001	-4.151983e+001	-4.151983e+001	-1.108040e+000	-3.373868e+000	-3.373868e+000	
5.200000e-001	-1.081687e+000	-3.775297e+000	-3.775297e+000	-5.790191e+001	-8.654228e+001	2.734577e+002	-5.726626e+001	4.451449e+001	4.451449e+001	-1.106551e+000	-3.219905e+000	-3.219905e+000	
5.210000e-001	-1.080331e+000	-3.864059e+000	-3.864059e+000	-6.147346e+001	6.796489e+001	2.479649e+002	-6.079223e+001	5.691932e+001	5.691932e+001	-1.115305e+000	-3.331562e+000	-3.331562e+000	
5.220000e-001	-1.071238e+000	-3.730762e+000	-3.730762e+000	-5.466750e+001	-6.876858e+001	1.112314e+002	-6.094239e+001	5.931102e+001	5.931102e+001	-1.109064e+000	-3.445878e+000	-3.445878e+000	
5.230000e-001	-1.074875e+000	-3.798806e+000	-3.798806e+000	-5.821670e+001	-5.835059e+001	1.216494e+002	-5.881613e+001	8.775212e+001	8.775212e+001	-1.123662e+000	-3.356954e+000	-3.356954e+000	
5.240000e-001	-1.074011e+000	-3.859855e+000	-3.859855e+000	-5.679210e+001	8.877545e+001	8.877545e+001	-5.486032e+001	-7.089548e+001	1.091045e+002	-1.105226e+000	-3.407678e+000	-3.407678e+000	
5.250000e-001	-1.089475e+000	-3.926904e+000	-3.926904e+000	-5.568488e+001	7.577572e+001	7.577572e+001	-5.429524e+001	7.580467e+001	7.580467e+001	-1.100180e+000	-3.417648e+000	-3.417648e+000	
5.260000e-001	-1.064855e+000	-3.853778e+000	-3.853778e+000	-6.411651e+001	4.211184e+001	4.211184e+001	-5.448317e+001	-8.931941e+001	9.068059e+001	-1.106255e+000	-3.342400e+000	-3.342400e+000	
5.270000e-001	-1.075868e+000	-3.924535e+000	-3.924535e+000	-5.603396e+001	7.644791e+001	7.644791e+001	-5.745948e+001	7.697614e+001	7.697614e+001	-1.104324e+000	-3.315187e+000	-3.315187e+000	
5.280000e-001	-1.090336e+000	-3.865625e+000	-3.865625e+000	-6.747480e+001	-7.758809e+001	1.024119e+002	-5.852245e+001	-2.506391e+001	-2.506391e+001	-1.108482e+000	-3.472178e+000	-3.472178e+000	
5.290000e-001	-1.083949e+000	-3.892125e+000	-3.892125e+000	-5.942015e+001	-8.760835e+001	9.239165e+001	-5.673621e+001	-6.924377e+001	-6.924377e+001	-1.122682e+000	-3.419885e+000	-3.419885e+000	
5.300000e-001	-1.070935e+000	-3.933816e+000	-3.933816e+000	-5.533929e+001	7.161168e+001	7.161168e+001	-5.797231e+001	4.505237e+001	4.505237e+001	-1.116989e+000	-3.468338e+000	-3.468338e+000	
5.310000e-001	-1.074664e+000	-3.994104e+000	-3.994104e+000	-5.711281e+001	4.951814e+001	4.951814e+001	-5.559202e+001	7.098451e+001	7.098451e+001	-1.114455e+000	-3.532178e+000	-3.532178e+000	
5.320000e-001	-1.087049e+000	-3.817967e+000	-3.817967e+000	-5.730116e+001	6.184112e+001	6.184112e+001	-6.107909e+001	4.456272e+001	4.456272e+001	-1.121739e+000	-3.377317e+000	-3.377317e+000	
5.330000e-001	-1.090917e+000	-3.995196e+000	-3.995196e+000	-5.863466e+001	-7.733238e+001	-7.733238e+001	-6.256088e+001	7.112779e+001	7.112779e+001	-1.127371e+000	-3.426218e+000	-3.426218e+000	
5.340000e-001	-1.073710e+000	-3.821127e+000	-3.821127e+000	-5.764607e+001	8.696715e+001	-9.303285e+001	-5.259806e+001	-7.137453e+001	1.086255e+002	-1.105177e+000	-3.557660e+000	-3.557660e+000	
5.350000e-001	-1.067569e+000	-3.973096e+000	-3.973096e+000	-5.666645e+001	6.199987e+001	-1.180001e+002	-6.998166e+001	-2.855566e+001	1.514443e+002	-1.111873e+000	-3.529927e+000	-3.529927e+000	
5.360000e-001	-1.081393e+000	-3.843965e+000	-3.843965e+000	-5.518560e+001	6.544788e+001	-1.145521e+002	-5.515570e+001	-8.573259e+001	9.426741e+001	-1.121866e+000	-3.612707e+000	-3.612707e+000	
