Frequency	 |S11|	 Phase(S11)	 ExtPh(S11)	 |S21|	 Phase(S21)	 ExtPh(S21)	 |S12|	 Phase(S12)	 ExtPh(S12)	 |S22|	 Phase(S22)	 ExtPh(S22) 
5.000000e-001	-1.075783e+000	-3.667590e+000	-3.667590e+000	-5.700298e+001	6.795466e+001	6.795466e+001	-6.035356e+001	-5.895606e+001	-5.895606e+001	-1.121817e+000	-3.156582e+000	-3.156582e+000	
5.010000e-001	-1.066650e+000	-3.672914e+000	-3.672914e+000	-5.683031e+001	-7.464610e+001	1.053539e+002	-5.692952e+001	-9.385037e+000	-9.385037e+000	-1.100780e+000	-3.248010e+000	-3.248010e+000	
5.020000e-001	-1.060277e+000	-3.707618e+000	-3.707618e+000	-6.384785e+001	1.856891e+001	1.985689e+002	-5.913530e+001	6.747238e+001	6.747238e+001	-1.096068e+000	-3.225825e+000	-3.225825e+000	
5.030000e-001	-1.067298e+000	-3.649131e+000	-3.649131e+000	-6.949533e+001	7.645384e+001	2.564538e+002	-6.109929e+001	5.931368e+001	5.931368e+001	-1.113102e+000	-3.152146e+000	-3.152146e+000	
5.040000e-001	-1.075779e+000	-3.751598e+000	-3.751598e+000	-5.965057e+001	3.024939e+001	2.102494e+002	-5.954446e+001	5.123396e-001	5.123396e-001	-1.098455e+000	-3.173406e+000	-3.173406e+000	
5.050000e-001	-1.089096e+000	-3.754749e+000	-3.754749e+000	-5.602224e+001	8.087992e+001	2.608799e+002	-6.151579e+001	-3.682951e+001	-3.682951e+001	-1.114206e+000	-3.271762e+000	-3.271762e+000	
5.060000e-001	-1.067781e+000	-3.647952e+000	-3.647952e+000	-5.641118e+001	5.647531e+001	2.364753e+002	-5.403520e+001	-6.896681e+001	-6.896681e+001	-1.121266e+000	-3.277697e+000	-3.277697e+000	
5.070000e-001	-1.078838e+000	-3.698124e+000	-3.698124e+000	-6.116059e+001	-2.226831e+001	1.577317e+002	-5.872469e+001	-5.747136e+001	-5.747136e+001	-1.126461e+000	-3.290058e+000	-3.290058e+000	
5.080000e-001	-1.071492e+000	-3.774112e+000	-3.774112e+000	-5.603153e+001	8.499583e+001	2.649958e+002	-6.084386e+001	-3.035445e+001	-3.035445e+001	-1.108634e+000	-3.241440e+000	-3.241440e+000	
5.090000e-001	-1.077192e+000	-3.804996e+000	-3.804996e+000	-5.873984e+001	-5.776846e+001	3.022315e+002	-6.285266e+001	7.137005e+001	7.137005e+001	-1.099712e+000	-3.283822e+000	-3.283822e+000	
5.100000e-001	-1.073697e+000	-3.784189e+000	-3.784189e+000	-5.598700e+001	8.475195e+001	2.647520e+002	-6.146429e+001	7.301052e+001	7.301052e+001	-1.117513e+000	-3.320440e+000	-3.320440e+000	
5.110000e-001	-1.087906e+000	-3.847504e+000	-3.847504e+000	-5.976738e+001	4.945472e+001	2.294547e+002	-5.596677e+001	-6.770923e+001	1.122908e+002	-1.124381e+000	-3.328955e+000	-3.328955e+000	
5.120000e-001	-1.070219e+000	-3.767500e+000	-3.767500e+000	-6.085649e+001	-6.338870e+001	1.166113e+002	-5.353771e+001	8.395127e+001	8.395127e+001	-1.099960e+000	-3.252637e+000	-3.252637e+000	
5.130000e-001	-1.087312e+000	-3.802048e+000	-3.802048e+000	-5.642204e+001	-7.474025e+001	1.052598e+002	-5.684551e+001	8.961722e+001	8.961722e+001	-1.115772e+000	-3.184067e+000	-3.184067e+000	
5.140000e-001	-1.078016e+000	-3.784796e+000	-3.784796e+000	-5.549593e+001	6.986897e+000	1.869869e+002	-5.677922e+001	-5.386565e+001	1.261344e+002	-1.116452e+000	-3.457547e+000	-3.457547e+000	
5.150000e-001	-1.080932e+000	-3.740709e+000	-3.740709e+000	-5.796857e+001	-7.623562e+001	1.037644e+002	-5.993330e+001	2.911734e+001	2.091173e+002	-1.109503e+000	-3.200046e+000	-3.200046e+000	
5.160000e-001	-1.072373e+000	-3.789908e+000	-3.789908e+000	-5.702907e+001	6.223535e+001	2.422353e+002	-5.725325e+001	8.422510e+001	2.642251e+002	-1.112824e+000	-3.242105e+000	-3.242105e+000	
5.170000e-001	-1.068968e+000	-3.899946e+000	-3.899946e+000	-5.546628e+001	8.169955e+001	2.616996e+002	-5.644098e+001	8.739721e+001	2.673972e+002	-1.126997e+000	-3.435205e+000	-3.435205e+000	
5.180000e-001	-1.068228e+000	-3.741379e+000	-3.741379e+000	-6.383647e+001	-2.809352e+001	1.519065e+002	-6.077104e+001	7.727261e+001	2.572726e+002	-1.107586e+000	-3.354663e+000	-3.354663e+000	
5.190000e-001	-1.077404e+000	-3.846256e+000	-3.846256e+000	-6.206993e+001	-4.557708e+001	1.344229e+002	-6.879799e+001	9.588755e+000	1.895888e+002	-1.114326e+000	-3.321059e+000	-3.321059e+000	
5.200000e-001	-1.085874e+000	-3.800761e+000	-3.800761e+000	-5.689801e+001	7.458124e+001	2.545812e+002	-5.818746e+001	-5.841156e+001	1.215884e+002	-1.114943e+000	-3.365884e+000	-3.365884e+000	
5.210000e-001	-1.072112e+000	-3.848361e+000	-3.848361e+000	-5.811452e+001	6.932489e+001	2.493249e+002	-5.445432e+001	5.877548e+001	2.387755e+002	-1.113405e+000	-3.464065e+000	-3.464065e+000	
5.220000e-001	-1.065121e+000	-3.729173e+000	-3.729173e+000	-5.724194e+001	-6.604430e+001	1.139557e+002	-5.689884e+001	-8.903591e+001	2.709641e+002	-1.112496e+000	-3.377147e+000	-3.377147e+000	
5.230000e-001	-1.073495e+000	-3.815547e+000	-3.815547e+000	-5.893510e+001	-8.606023e+001	9.393977e+001	-5.696825e+001	7.974015e+001	2.597402e+002	-1.103174e+000	-3.389095e+000	-3.389095e+000	
5.240000e-001	-1.082650e+000	-3.875916e+000	-3.875916e+000	-5.512929e+001	8.121986e+001	8.121986e+001	-5.544534e+001	6.300993e+001	2.430099e+002	-1.111933e+000	-3.375947e+000	-3.375947e+000	
5.250000e-001	-1.099791e+000	-3.837562e+000	-3.837562e+000	-5.899134e+001	6.538950e+001	6.538950e+001	-5.483769e+001	8.628160e+001	2.662816e+002	-1.105267e+000	-3.403028e+000	-3.403028e+000	
5.260000e-001	-1.080897e+000	-3.947422e+000	-3.947422e+000	-6.151466e+001	-8.168425e+001	9.831575e+001	-5.955624e+001	8.596496e+001	2.659650e+002	-1.107248e+000	-3.425309e+000	-3.425309e+000	
5.270000e-001	-1.078281e+000	-3.880447e+000	-3.880447e+000	-6.448157e+001	-3.097243e+001	1.490276e+002	-6.233399e+001	6.744770e+001	2.474477e+002	-1.111295e+000	-3.397472e+000	-3.397472e+000	
5.280000e-001	-1.063167e+000	-3.862490e+000	-3.862490e+000	-5.631713e+001	-8.171435e+001	9.828565e+001	-7.653815e+001	-3.836747e+001	1.416325e+002	-1.121960e+000	-3.530769e+000	-3.530769e+000	
5.290000e-001	-1.069105e+000	-3.802400e+000	-3.802400e+000	-6.326414e+001	5.762379e+001	2.376238e+002	-5.648508e+001	3.552578e+001	2.155258e+002	-1.104593e+000	-3.518054e+000	-3.518054e+000	
