Frequency 	 |S21| 	 Phase(S21) 	 ExtPhase(S21) 	 CorPhase(S21)	 ExtCorPhase(S21)	 |S12| 	 Phase(S12)	 ExtPhase(S12) 	 CorPhase(S12)	 ExtCorPhase(S12)
GHz 	 dB 	 deg 	 deg 	 deg	 deg	 dB 	 deg 	 deg 	 deg	 deg
5.00000000e-001	-5.79618957e+001	8.72677564e+000	8.72677564e+000	4.60491325e+001	4.60491325e+001	-5.62210258e+001	-4.58670527e+001	-4.58670527e+001	-6.37023115e+001	-6.37023115e+001
5.01000000e-001	-5.64834352e+001	-7.70870030e+001	-7.70870030e+001	5.41906825e+001	5.41906825e+001	-5.31787889e+001	-3.13894303e+001	-3.13894303e+001	-8.16150570e+001	-8.16150570e+001
5.02000000e-001	-6.71540015e+001	4.64445003e+001	4.64445003e+001	5.90270528e+000	5.90270528e+000	-5.36053417e+001	5.95034801e+001	5.95034801e+001	3.41165344e+001	3.41165344e+001
5.03000000e-001	-5.96042288e+001	-3.92709948e+001	-3.92709948e+001	3.86230422e+001	3.86230422e+001	-5.40282673e+001	3.34127016e+001	3.34127016e+001	-8.94510039e+001	-8.94510039e+001
5.04000000e-001	-6.61227737e+001	-6.99058342e+001	-6.99058342e+001	-7.61034954e+000	-7.61034954e+000	-5.39377040e+001	-1.65815287e+001	-1.65815287e+001	-7.68427433e+001	-7.68427433e+001
5.05000000e-001	-6.57972324e+001	-3.99466832e+001	-3.99466832e+001	1.46428732e+001	1.46428732e+001	-5.84127464e+001	-3.39896795e+000	-3.39896795e+000	5.20366429e+001	5.20366429e+001
5.06000000e-001	-7.13200143e+001	-3.52415732e+001	-3.52415732e+001	9.00543135e+000	9.00543135e+000	-7.26895463e+001	-8.49996152e+001	-8.49996152e+001	-7.69816787e-001	-7.69816787e-001
5.07000000e-001	-6.10653607e+001	-3.30261939e+001	-3.30261939e+001	4.42319080e+001	4.42319080e+001	-5.93924271e+001	-1.70665520e+001	-1.70665520e+001	7.84635888e+001	7.84635888e+001
5.08000000e-001	-6.22372321e+001	3.61936820e+001	3.61936820e+001	-2.34614202e+001	-2.34614202e+001	-7.40804377e+001	-2.23246399e+001	-2.23246399e+001	-6.31202962e+000	-6.31202962e+000
5.09000000e-001	-6.30078164e+001	-5.47796517e+001	-5.47796517e+001	-2.43412476e+001	-2.43412476e+001	-6.16169397e+001	1.13686090e+001	1.13686090e+001	-3.71444092e+001	-3.71444092e+001
