Frequency 	 |S21| 	 Phase(S21) 	 ExtPhase(S21) 	 CorPhase(S21)	 ExtCorPhase(S21)	 |S12| 	 Phase(S12)	 ExtPhase(S12) 	 CorPhase(S12)	 ExtCorPhase(S12)
GHz 	 dB 	 deg 	 deg 	 deg	 deg	 dB 	 deg 	 deg 	 deg	 deg
5.00000000e-001	-6.12894561e+001	-1.37310371e+001	-1.37310371e+001	3.67388362e+001	3.67388362e+001	-5.20584332e+001	-4.47782948e+001	-4.47782948e+001	4.56308812e+001	4.56308812e+001
5.01000000e-001	-5.67089080e+001	-8.72587245e+001	-8.72587245e+001	-4.68222548e+001	-4.68222548e+001	-5.72073062e+001	8.47159698e+000	8.47159698e+000	3.98532529e+001	3.98532529e+001
5.02000000e-001	-7.06000412e+001	-4.96105985e+001	-4.96105985e+001	-1.04073709e+001	-1.04073709e+001	-6.12175099e+001	2.55741009e+001	2.55741009e+001	-1.65248680e+001	-1.65248680e+001
5.03000000e-001	-6.67113166e+001	2.22489615e+001	2.22489615e+001	1.70189332e+001	1.70189332e+001	-5.56765474e+001	2.50501057e+001	2.50501057e+001	-6.60750797e+001	-6.60750797e+001
5.04000000e-001	-6.65898977e+001	8.29108265e+001	8.29108265e+001	-2.17878115e+000	-2.17878115e+000	-5.45619952e+001	2.18961329e+001	2.18961329e+001	5.22328327e+001	5.22328327e+001
5.05000000e-001	-6.23904248e+001	2.38607943e+001	2.38607943e+001	6.51238962e+001	6.51238962e+001	-6.62732255e+001	-4.61289017e+001	-4.61289017e+001	2.22353580e+001	2.22353580e+001
5.06000000e-001	-6.46147724e+001	-2.53139998e+000	-2.53139998e+000	3.20139084e+001	3.20139084e+001	-5.79884666e+001	8.00147866e+001	8.00147866e+001	9.74821191e+000	9.74821191e+000
5.07000000e-001	-6.78351080e+001	-9.42237096e+000	-9.42237096e+000	-2.21111648e+001	-2.21111648e+001	-6.43093429e+001	-6.04774476e+001	1.19522552e+002	3.13457333e+000	3.13457333e+000
5.08000000e-001	-5.77627421e+001	-6.07313523e+000	-6.07313523e+000	-3.58434331e+001	-3.58434331e+001	-6.55130188e+001	-6.41868475e+001	1.15813152e+002	9.28596515e+000	9.28596515e+000
5.09000000e-001	-6.51534862e+001	-8.75317978e+000	-8.75317978e+000	-1.94078773e+001	-1.94078773e+001	-5.95254851e+001	3.67920155e+000	1.83679202e+002	4.95735234e+001	4.95735234e+001
5.10000000e-001	-5.98823068e+001	-2.32790661e+001	-2.32790661e+001	-5.02195938e+001	-5.02195938e+001	-5.68705559e+001	3.69209394e+001	2.16920939e+002	5.17696411e+001	5.17696411e+001
5.11000000e-001	-6.06510831e+001	1.84645399e+001	1.84645399e+001	3.76161444e+001	3.76161444e+001	-6.22314045e+001	-7.39570208e+001	1.06042979e+002	-1.90703806e+001	-1.90703806e+001
5.12000000e-001	-6.51426894e+001	-8.74197560e+000	-8.74197560e+000	3.29390960e+001	3.29390960e+001	-6.02856672e+001	-5.51640530e-001	1.79448359e+002	4.07380429e+001	4.07380429e+001
5.13000000e-001	-6.01362709e+001	4.61810691e+000	4.61810691e+000	6.01043195e+001	6.01043195e+001	-6.41979572e+001	-8.03090238e+001	9.96909762e+001	2.54326121e+001	2.54326121e+001
5.14000000e-001	-6.43784357e+001	3.48189390e+001	3.48189390e+001	-1.42626757e+001	-1.42626757e+001	-5.16181368e+001	6.61210793e+001	6.61210793e+001	-8.48397193e+001	-8.48397193e+001
5.15000000e-001	-6.35581163e+001	-2.29673289e+001	-2.29673289e+001	2.70328968e+001	2.70328968e+001	-6.34063575e+001	-3.74633635e+001	-3.74633635e+001	-2.38573579e+001	-2.38573579e+001
5.16000000e-001	-5.96961036e+001	3.16490832e+001	3.16490832e+001	3.32967742e+001	3.32967742e+001	-6.24279440e+001	-8.19352104e+001	-8.19352104e+001	2.60701805e+001	2.60701805e+001
5.17000000e-001	-5.93419739e+001	8.29375686e+001	8.29375686e+001	-2.15265677e+001	-2.15265677e+001	-5.96861566e+001	8.30938959e+001	-9.69061041e+001	1.45986887e+001	1.45986887e+001
5.18000000e-001	-6.29831422e+001	-4.13348541e+001	-4.13348541e+001	2.18252420e+001	2.18252420e+001	-6.32350252e+001	5.02121937e+000	-1.74978781e+002	2.49643785e+001	2.49643785e+001
5.19000000e-001	-6.15123918e+001	-4.48753359e+000	-4.48753359e+000	2.73515670e+001	2.73515670e+001	-6.60513364e+001	6.93974335e+001	-1.10602567e+002	-1.28713337e+001	-1.28713337e+001
5.20000000e-001	-5.82237755e+001	7.42657550e+001	7.42657550e+001	4.14258748e+001	4.14258748e+001	-6.56308738e+001	-3.18823119e+001	-2.11882312e+002	-2.21238494e+001	-2.21238494e+001
5.21000000e-001	-6.17007346e+001	-3.66091434e+001	-3.66091434e+001	6.22787060e+001	6.22787060e+001	-5.67513186e+001	-3.72178419e+001	-2.17217842e+002	5.43335516e+001	5.43335516e+001
5.22000000e-001	-5.74582244e+001	-3.01439901e+001	-3.01439901e+001	4.24093215e+001	4.24093215e+001	-5.94251199e+001	-3.72393850e+001	-2.17239385e+002	4.02697933e+001	4.02697933e+001
5.23000000e-001	-7.12880118e+001	-4.25428049e+001	-4.25428049e+001	1.68814366e+001	1.68814366e+001	-5.31300208e+001	-6.41627059e+001	-2.44162706e+002	-6.66904312e+001	-6.66904312e+001
5.24000000e-001	-6.34582063e+001	6.81787439e+001	6.81787439e+001	8.62336954e+000	8.62336954e+000	-5.55479152e+001	7.79187380e+001	-2.82081262e+002	-6.16180236e+001	-6.16180236e+001
5.25000000e-001	-5.45307810e+001	8.54407472e+001	8.54407472e+001	5.69334546e+001	5.69334546e+001	-6.23250334e+001	5.45737621e+001	-3.05426238e+002	2.29335459e+001	2.29335459e+001
5.26000000e-001	-5.74562926e+001	-4.36897040e+001	-4.36897040e+001	-5.48686002e+001	-5.48686002e+001	-6.45290158e+001	4.00593864e+001	-3.19940614e+002	-1.15975022e+001	-1.15975022e+001
