Frequency	 |S11|	 Phase(S11)	 ExtPh(S11)	 |S21|	 Phase(S21)	 ExtPh(S21)	 |S12|	 Phase(S12)	 ExtPh(S12)	 |S22|	 Phase(S22)	 ExtPh(S22) 
5.000000e-001	-1.799698e+000	-5.421298e+000	-5.421298e+000	-5.769120e+001	-6.240174e+001	-6.240174e+001	-5.325290e+001	6.294789e+001	6.294789e+001	-1.725455e+000	-5.068168e+000	-5.068168e+000	
5.010000e-001	-1.777138e+000	-5.449979e+000	-5.449979e+000	-5.873379e+001	7.749084e+001	7.749084e+001	-5.723694e+001	-4.007725e+001	-4.007725e+001	-1.713307e+000	-4.939554e+000	-4.939554e+000	
5.020000e-001	-1.796861e+000	-5.388958e+000	-5.388958e+000	-5.456262e+001	7.702727e+001	7.702727e+001	-5.598045e+001	-7.402415e+001	-7.402415e+001	-1.730336e+000	-4.952120e+000	-4.952120e+000	
5.030000e-001	-1.777396e+000	-5.457293e+000	-5.457293e+000	-5.779758e+001	-7.041427e+001	1.095857e+002	-5.833103e+001	6.558222e+001	6.558222e+001	-1.715544e+000	-5.078541e+000	-5.078541e+000	
5.040000e-001	-1.780285e+000	-5.443856e+000	-5.443856e+000	-6.236237e+001	-8.187608e+001	9.812392e+001	-8.736240e+001	-5.542428e+001	-5.542428e+001	-1.712297e+000	-5.090691e+000	-5.090691e+000	
5.050000e-001	-1.775636e+000	-5.459747e+000	-5.459747e+000	-5.900385e+001	-8.397397e+001	9.602603e+001	-5.587452e+001	6.292247e+001	6.292247e+001	-1.727152e+000	-5.082745e+000	-5.082745e+000	
5.060000e-001	-1.779369e+000	-5.464704e+000	-5.464704e+000	-6.527573e+001	1.369211e+000	1.813692e+002	-5.820452e+001	-7.501786e+001	-7.501786e+001	-1.717869e+000	-5.091219e+000	-5.091219e+000	
5.070000e-001	-1.788472e+000	-5.512049e+000	-5.512049e+000	-5.713152e+001	-5.645018e+001	1.235498e+002	-5.992775e+001	-5.598652e+001	-5.598652e+001	-1.731330e+000	-5.121215e+000	-5.121215e+000	
5.080000e-001	-1.773133e+000	-5.571155e+000	-5.571155e+000	-6.373958e+001	8.439795e+001	8.439795e+001	-5.330140e+001	-8.763054e+001	-8.763054e+001	-1.710884e+000	-5.180176e+000	-5.180176e+000	
5.090000e-001	-1.761476e+000	-5.501202e+000	-5.501202e+000	-5.784562e+001	7.259431e+001	7.259431e+001	-5.304350e+001	-7.231829e+001	-7.231829e+001	-1.709785e+000	-5.143385e+000	-5.143385e+000	
5.100000e-001	-1.790522e+000	-5.549109e+000	-5.549109e+000	-5.240258e+001	8.603977e+001	8.603977e+001	-5.696357e+001	7.476494e+001	-1.052351e+002	-1.711514e+000	-5.193923e+000	-5.193923e+000	
5.110000e-001	-1.775411e+000	-5.589527e+000	-5.589527e+000	-6.329354e+001	2.641111e+001	2.641111e+001	-7.629207e+001	2.681393e+001	-1.531861e+002	-1.728049e+000	-5.187288e+000	-5.187288e+000	
5.120000e-001	-1.806103e+000	-5.481518e+000	-5.481518e+000	-5.409709e+001	-8.206892e+001	-8.206892e+001	-5.772864e+001	3.479984e+001	-1.452002e+002	-1.734830e+000	-5.131365e+000	-5.131365e+000	
5.130000e-001	-1.776737e+000	-5.572952e+000	-5.572952e+000	-5.655888e+001	8.581705e+001	-9.418295e+001	-6.650990e+001	-6.114060e+001	-2.411406e+002	-1.717386e+000	-5.114447e+000	-5.114447e+000	
5.140000e-001	-1.768432e+000	-5.604416e+000	-5.604416e+000	-5.274383e+001	5.841100e+001	-1.215890e+002	-6.783142e+001	5.605258e+001	-1.239474e+002	-1.723940e+000	-5.192340e+000	-5.192340e+000	
5.150000e-001	-1.786276e+000	-5.557186e+000	-5.557186e+000	-5.583789e+001	7.886607e+001	-1.011339e+002	-5.409131e+001	8.474423e+001	-9.525577e+001	-1.709317e+000	-5.257970e+000	-5.257970e+000	
5.160000e-001	-1.780901e+000	-5.584418e+000	-5.584418e+000	-5.473212e+001	5.357039e+001	-1.264296e+002	-5.873661e+001	5.797009e+001	-1.220299e+002	-1.711482e+000	-5.244523e+000	-5.244523e+000	
5.170000e-001	-1.787003e+000	-5.571929e+000	-5.571929e+000	-5.706365e+001	-5.353189e+001	-2.335319e+002	-5.394801e+001	7.728293e+001	-1.027171e+002	-1.718252e+000	-5.273323e+000	-5.273323e+000	
5.180000e-001	-1.788575e+000	-5.684684e+000	-5.684684e+000	-5.678824e+001	7.767779e+001	-1.023222e+002	-5.214250e+001	8.032147e+001	-9.967853e+001	-1.711691e+000	-5.210691e+000	-5.210691e+000	
5.190000e-001	-1.794095e+000	-5.621052e+000	-5.621052e+000	-5.362123e+001	-7.022945e+001	-7.022945e+001	-6.717154e+001	-7.025980e+001	-7.025980e+001	-1.727114e+000	-5.290031e+000	-5.290031e+000	
5.200000e-001	-1.778795e+000	-5.636113e+000	-5.636113e+000	-5.764270e+001	5.221676e+001	5.221676e+001	-6.213146e+001	6.290477e+001	6.290477e+001	-1.734839e+000	-5.168982e+000	-5.168982e+000	
