Frequency	 |S11|	 Phase(S11)	 ExtPh(S11)	 |S21|	 Phase(S21)	 ExtPh(S21)	 |S12|	 Phase(S12)	 ExtPh(S12)	 |S22|	 Phase(S22)	 ExtPh(S22) 
5.000000e-001	-1.788353e+000	-5.227761e+000	-5.227761e+000	-6.671782e+001	-6.090595e+001	-6.090595e+001	-6.661636e+001	-4.413896e+001	-4.413896e+001	-1.714416e+000	-4.756286e+000	-4.756286e+000	
5.010000e-001	-1.768437e+000	-5.202978e+000	-5.202978e+000	-5.612724e+001	6.657751e+001	6.657751e+001	-6.878110e+001	-5.956022e+001	-5.956022e+001	-1.711937e+000	-4.732643e+000	-4.732643e+000	
5.020000e-001	-1.762936e+000	-5.021419e+000	-5.021419e+000	-5.450265e+001	6.946314e+001	6.946314e+001	-6.006874e+001	-5.729335e+001	-5.729335e+001	-1.711005e+000	-4.851178e+000	-4.851178e+000	
5.030000e-001	-1.777501e+000	-5.084412e+000	-5.084412e+000	-5.652010e+001	-8.405323e+001	9.594677e+001	-5.804156e+001	-7.070550e+001	-7.070550e+001	-1.699190e+000	-4.683201e+000	-4.683201e+000	
5.040000e-001	-1.770025e+000	-5.100354e+000	-5.100354e+000	-5.972292e+001	4.358478e+001	2.235848e+002	-5.359045e+001	8.203626e+001	-9.796374e+001	-1.721361e+000	-4.710978e+000	-4.710978e+000	
5.050000e-001	-1.759465e+000	-5.129527e+000	-5.129527e+000	-6.422434e+001	-1.231041e+001	1.676896e+002	-5.261154e+001	8.841986e+001	-9.158014e+001	-1.713739e+000	-4.714816e+000	-4.714816e+000	
5.060000e-001	-1.754444e+000	-5.180081e+000	-5.180081e+000	-5.459256e+001	6.647475e+001	2.464747e+002	-6.232811e+001	7.043427e+001	-1.095657e+002	-1.698542e+000	-4.877188e+000	-4.877188e+000	
5.070000e-001	-1.758799e+000	-5.257183e+000	-5.257183e+000	-6.289632e+001	7.386911e+001	2.538691e+002	-5.848744e+001	-8.620520e+001	-8.620520e+001	-1.695671e+000	-4.778960e+000	-4.778960e+000	
5.080000e-001	-1.765501e+000	-5.232886e+000	-5.232886e+000	-5.762675e+001	6.185596e+001	2.418560e+002	-5.681108e+001	-8.734337e+001	-8.734337e+001	-1.727709e+000	-4.873196e+000	-4.873196e+000	
5.090000e-001	-1.756834e+000	-5.206110e+000	-5.206110e+000	-5.529092e+001	7.307907e+001	2.530791e+002	-6.020867e+001	7.034154e+001	-1.096585e+002	-1.722450e+000	-4.881982e+000	-4.881982e+000	
5.100000e-001	-1.754165e+000	-5.201708e+000	-5.201708e+000	-6.049201e+001	5.811269e+001	2.381127e+002	-5.392269e+001	7.200980e+001	-1.079902e+002	-1.730015e+000	-4.912618e+000	-4.912618e+000	
5.110000e-001	-1.756099e+000	-5.260845e+000	-5.260845e+000	-5.655981e+001	-8.723014e+001	2.727699e+002	-5.752141e+001	-6.230175e+001	-2.423017e+002	-1.724696e+000	-4.849276e+000	-4.849276e+000	
5.120000e-001	-1.766145e+000	-5.304019e+000	-5.304019e+000	-5.743661e+001	7.816652e+001	2.581665e+002	-5.896782e+001	7.751361e+001	-1.024864e+002	-1.717128e+000	-4.921006e+000	-4.921006e+000	
