Frequency	 |S11|	 Phase(S11)	 ExtPh(S11)	 |S21|	 Phase(S21)	 ExtPh(S21)	 |S12|	 Phase(S12)	 ExtPh(S12)	 |S22|	 Phase(S22)	 ExtPh(S22) 
5.000000e-001	-3.150758e+000	-8.267173e+000	-8.267173e+000	-6.092948e+001	8.371319e+001	8.371319e+001	-5.909000e+001	7.577603e+001	7.577603e+001	-3.003209e+000	-7.842621e+000	-7.842621e+000	
5.010000e-001	-3.159873e+000	-8.369629e+000	-8.369629e+000	-5.694051e+001	7.708079e+001	7.708079e+001	-5.649293e+001	8.725047e+001	8.725047e+001	-3.011916e+000	-7.888720e+000	-7.888720e+000	
5.020000e-001	-3.146587e+000	-8.414061e+000	-8.414061e+000	-5.426451e+001	7.876070e+001	7.876070e+001	-5.511031e+001	6.765967e+001	6.765967e+001	-3.005332e+000	-7.823836e+000	-7.823836e+000	
5.030000e-001	-3.154976e+000	-8.419908e+000	-8.419908e+000	-6.370528e+001	8.895209e+001	8.895209e+001	-5.668628e+001	8.364031e+001	8.364031e+001	-2.998362e+000	-7.932753e+000	-7.932753e+000	
5.040000e-001	-3.162002e+000	-8.382118e+000	-8.382118e+000	-5.705934e+001	-7.815657e+001	1.018434e+002	-5.436047e+001	8.637561e+001	8.637561e+001	-3.014163e+000	-7.927089e+000	-7.927089e+000	
5.050000e-001	-3.164695e+000	-8.392966e+000	-8.392966e+000	-5.450552e+001	-8.100562e+001	9.899438e+001	-5.321083e+001	7.468793e+001	7.468793e+001	-3.019637e+000	-7.936045e+000	-7.936045e+000	
5.060000e-001	-3.160635e+000	-8.467749e+000	-8.467749e+000	-5.713028e+001	6.194812e+001	6.194812e+001	-5.671029e+001	8.556503e+001	8.556503e+001	-3.009629e+000	-8.017147e+000	-8.017147e+000	
5.070000e-001	-3.152568e+000	-8.482536e+000	-8.482536e+000	-5.550553e+001	8.180631e+001	8.180631e+001	-5.751248e+001	-7.091787e+001	1.090821e+002	-3.003280e+000	-8.063591e+000	-8.063591e+000	
5.080000e-001	-3.158584e+000	-8.514333e+000	-8.514333e+000	-5.869386e+001	6.237356e+001	6.237356e+001	-6.009086e+001	-6.133876e+001	1.186612e+002	-3.010864e+000	-7.993907e+000	-7.993907e+000	
5.090000e-001	-3.154040e+000	-8.503457e+000	-8.503457e+000	-6.026228e+001	-7.598849e+001	-7.598849e+001	-5.957372e+001	7.794429e+001	2.579443e+002	-3.001098e+000	-8.013003e+000	-8.013003e+000	
5.100000e-001	-3.160286e+000	-8.545220e+000	-8.545220e+000	-5.721004e+001	7.457902e+001	-1.054210e+002	-5.514593e+001	7.355999e+001	2.535600e+002	-3.004840e+000	-8.106763e+000	-8.106763e+000	
5.110000e-001	-3.163282e+000	-8.620595e+000	-8.620595e+000	-5.984734e+001	7.713558e+001	-1.028644e+002	-5.738339e+001	-7.533488e+001	2.846651e+002	-3.009133e+000	-8.105524e+000	-8.105524e+000	
5.120000e-001	-3.158335e+000	-8.545287e+000	-8.545287e+000	-5.580362e+001	6.975079e+001	-1.102492e+002	-5.684562e+001	-7.379196e+001	2.862080e+002	-3.004620e+000	-8.029415e+000	-8.029415e+000	
5.130000e-001	-3.159140e+000	-8.597039e+000	-8.597039e+000	-5.325511e+001	7.371652e+001	-1.062835e+002	-5.683318e+001	6.896784e+001	2.489678e+002	-3.007441e+000	-8.014446e+000	-8.014446e+000	
5.140000e-001	-3.154672e+000	-8.619085e+000	-8.619085e+000	-5.500402e+001	5.552070e+001	-1.244793e+002	-5.516909e+001	7.837268e+001	2.583727e+002	-3.008704e+000	-8.129707e+000	-8.129707e+000	
5.150000e-001	-3.155824e+000	-8.617099e+000	-8.617099e+000	-5.428233e+001	8.089499e+001	-9.910501e+001	-5.596709e+001	7.550583e+001	2.555058e+002	-3.004735e+000	-8.129474e+000	-8.129474e+000	
5.160000e-001	-3.161405e+000	-8.729084e+000	-8.729084e+000	-5.833618e+001	8.816897e+001	-9.183103e+001	-5.636536e+001	7.291564e+001	2.529156e+002	-3.006637e+000	-8.166262e+000	-8.166262e+000	
5.170000e-001	-3.154399e+000	-8.761203e+000	-8.761203e+000	-5.820309e+001	-8.830682e+001	-8.830682e+001	-6.146993e+001	3.759562e+001	2.175956e+002	-3.018719e+000	-8.210071e+000	-8.210071e+000	
5.180000e-001	-3.155864e+000	-8.720266e+000	-8.720266e+000	-5.291952e+001	7.400012e+001	-1.059999e+002	-5.483605e+001	8.464321e+001	2.646432e+002	-3.011583e+000	-8.161599e+000	-8.161599e+000	
5.190000e-001	-3.153144e+000	-8.704744e+000	-8.704744e+000	-5.662398e+001	6.150544e+001	-1.184946e+002	-5.784532e+001	5.579818e+001	2.357982e+002	-3.022211e+000	-8.228886e+000	-8.228886e+000	
5.200000e-001	-3.159512e+000	-8.695721e+000	-8.695721e+000	-5.789551e+001	7.985156e+001	-1.001484e+002	-6.085169e+001	8.204492e+001	2.620449e+002	-3.001916e+000	-8.198883e+000	-8.198883e+000	
5.210000e-001	-3.158398e+000	-8.754195e+000	-8.754195e+000	-6.103776e+001	7.709419e+001	-1.029058e+002	-5.567286e+001	8.563875e+001	2.656387e+002	-3.007933e+000	-8.339833e+000	-8.339833e+000	
5.220000e-001	-3.147261e+000	-8.809937e+000	-8.809937e+000	-5.873339e+001	7.612224e+001	-1.038778e+002	-5.506269e+001	7.437749e+001	2.543775e+002	-2.999483e+000	-8.309104e+000	-8.309104e+000	
5.230000e-001	-3.156947e+000	-8.709493e+000	-8.709493e+000	-5.623737e+001	-8.712178e+001	-8.712178e+001	-5.612854e+001	8.904969e+001	2.690497e+002	-3.019275e+000	-8.274094e+000	-8.274094e+000	
5.240000e-001	-3.163561e+000	-8.832117e+000	-8.832117e+000	-5.987808e+001	-7.672932e+001	-7.672932e+001	-6.029842e+001	7.441920e+001	2.544192e+002	-3.002028e+000	-8.376451e+000	-8.376451e+000	
5.250000e-001	-3.165110e+000	-8.805914e+000	-8.805914e+000	-5.524385e+001	7.195737e+001	-1.080426e+002	-5.376423e+001	7.183622e+001	2.518362e+002	-3.011351e+000	-8.331370e+000	-8.331370e+000	
5.260000e-001	-3.142858e+000	-8.902782e+000	-8.902782e+000	-6.447713e+001	4.375298e+001	-1.362470e+002	-5.416915e+001	5.556520e+001	2.355652e+002	-3.001258e+000	-8.304376e+000	-8.304376e+000	
5.270000e-001	-3.152484e+000	-8.911980e+000	-8.911980e+000	-6.131797e+001	7.809255e+001	-1.019074e+002	-5.944885e+001	-8.479292e+001	2.752071e+002	-3.011178e+000	-8.382750e+000	-8.382750e+000	
5.280000e-001	-3.147107e+000	-8.874970e+000	-8.874970e+000	-5.889761e+001	5.849784e+001	-1.215022e+002	-5.953261e+001	5.911816e+001	2.391182e+002	-3.012413e+000	-8.401811e+000	-8.401811e+000	
5.290000e-001	-3.156419e+000	-8.892671e+000	-8.892671e+000	-5.665821e+001	7.756739e+001	-1.024326e+002	-5.971153e+001	6.113110e+001	2.411311e+002	-3.009748e+000	-8.388846e+000	-8.388846e+000	
5.300000e-001	-3.156985e+000	-8.895128e+000	-8.895128e+000	-5.605679e+001	6.573400e+001	-1.142660e+002	-5.710710e+001	4.215558e+001	2.221556e+002	-3.005425e+000	-8.340407e+000	-8.340407e+000	
5.310000e-001	-3.165062e+000	-8.914632e+000	-8.914632e+000	-5.927581e+001	3.965220e+001	-1.403478e+002	-5.726928e+001	7.608539e+001	2.560854e+002	-3.007629e+000	-8.448522e+000	-8.448522e+000	
5.320000e-001	-3.155695e+000	-9.001981e+000	-9.001981e+000	-5.414099e+001	8.305001e+001	-9.694999e+001	-6.225959e+001	7.940205e+001	2.594021e+002	-3.014269e+000	-8.463168e+000	-8.463168e+000	
5.330000e-001	-3.165379e+000	-8.927827e+000	-8.927827e+000	-5.907017e+001	-8.875330e+001	-8.875330e+001	-5.699337e+001	4.847731e+001	2.284773e+002	-3.005383e+000	-8.463462e+000	-8.463462e+000	
5.340000e-001	-3.148466e+000	-8.930496e+000	-8.930496e+000	-5.603093e+001	-8.344723e+001	-8.344723e+001	-6.071319e+001	5.540890e+001	2.354089e+002	-2.999162e+000	-8.405290e+000	-8.405290e+000	
5.350000e-001	-3.157042e+000	-9.009712e+000	-9.009712e+000	-5.511531e+001	-8.851168e+001	-8.851168e+001	-5.698604e+001	-8.945799e+001	2.705420e+002	-3.013583e+000	-8.568968e+000	-8.568968e+000	
5.360000e-001	-3.156618e+000	-9.064695e+000	-9.064695e+000	-5.573296e+001	6.711063e+001	-1.128894e+002	-5.445655e+001	7.313768e+001	2.531377e+002	-3.004855e+000	-8.472024e+000	-8.472024e+000	
5.370000e-001	-3.156617e+000	-9.003628e+000	-9.003628e+000	-5.578247e+001	5.137415e+001	-1.286258e+002	-5.549751e+001	-7.335285e+001	2.866472e+002	-3.010604e+000	-8.459125e+000	-8.459125e+000	
5.380000e-001	-3.152151e+000	-8.986355e+000	-8.986355e+000	-5.923259e+001	6.764480e+001	-1.123552e+002	-5.586409e+001	5.580062e+001	4.158006e+002	-3.010833e+000	-8.565712e+000	-8.565712e+000	
5.390000e-001	-3.145274e+000	-9.054777e+000	-9.054777e+000	-5.846520e+001	4.562295e+001	-1.343770e+002	-5.716703e+001	-8.770219e+001	4.522978e+002	-3.001229e+000	-8.603338e+000	-8.603338e+000	
5.400000e-001	-3.151557e+000	-9.059025e+000	-9.059025e+000	-5.507739e+001	8.994980e+001	-9.005020e+001	-5.722066e+001	4.193129e+001	5.819313e+002	-3.009425e+000	-8.565380e+000	-8.565380e+000	
