Frequency	 |S11|	 Phase(S11)	 ExtPh(S11)	 |S21|	 Phase(S21)	 ExtPh(S21)	 |S12|	 Phase(S12)	 ExtPh(S12)	 |S22|	 Phase(S22)	 ExtPh(S22) 
5.000000e-001	-3.227090e+000	-8.162953e+000	-8.162953e+000	-5.504011e+001	7.875765e+001	7.875765e+001	-5.503637e+001	8.424284e+001	8.424284e+001	-2.990139e+000	-7.637264e+000	-7.637264e+000	
5.010000e-001	-3.203541e+000	-8.163434e+000	-8.163434e+000	-6.099141e+001	8.303914e+001	8.303914e+001	-5.636929e+001	8.837773e+001	8.837773e+001	-2.993918e+000	-7.661544e+000	-7.661544e+000	
5.020000e-001	-3.204274e+000	-8.234382e+000	-8.234382e+000	-5.608417e+001	7.520255e+001	7.520255e+001	-5.618897e+001	7.678736e+001	7.678736e+001	-2.995643e+000	-7.682349e+000	-7.682349e+000	
5.030000e-001	-3.208127e+000	-8.129718e+000	-8.129718e+000	-5.601252e+001	-6.177124e+001	-6.177124e+001	-5.951243e+001	-8.623498e+001	9.376502e+001	-3.009935e+000	-7.658930e+000	-7.658930e+000	
5.040000e-001	-3.206228e+000	-8.221695e+000	-8.221695e+000	-5.724037e+001	7.870865e+001	-1.012914e+002	-5.666505e+001	6.693948e+001	6.693948e+001	-3.012476e+000	-7.673523e+000	-7.673523e+000	
5.050000e-001	-3.219687e+000	-8.128897e+000	-8.128897e+000	-5.483012e+001	7.300882e+001	-1.069912e+002	-6.672727e+001	8.515861e+001	8.515861e+001	-3.020908e+000	-7.717481e+000	-7.717481e+000	
5.060000e-001	-3.207141e+000	-8.220689e+000	-8.220689e+000	-5.486856e+001	4.827982e+001	-1.317202e+002	-5.770510e+001	3.738905e+001	3.738905e+001	-2.999508e+000	-7.757180e+000	-7.757180e+000	
5.070000e-001	-3.222273e+000	-8.217269e+000	-8.217269e+000	-6.434588e+001	-6.920079e+001	-2.492008e+002	-5.618307e+001	4.674122e+001	4.674122e+001	-2.993234e+000	-7.714442e+000	-7.714442e+000	
5.080000e-001	-3.204957e+000	-8.248791e+000	-8.248791e+000	-5.822319e+001	7.504315e+001	-2.849569e+002	-5.601551e+001	7.811433e+001	7.811433e+001	-3.000529e+000	-7.747053e+000	-7.747053e+000	
5.090000e-001	-3.208006e+000	-8.319628e+000	-8.319628e+000	-5.874366e+001	-8.890326e+001	-2.689033e+002	-5.756498e+001	4.084169e+001	4.084169e+001	-3.012148e+000	-7.819280e+000	-7.819280e+000	
