Frequency	 |S11|	 Phase(S11)	 ExtPh(S11)	 |S21|	 Phase(S21)	 ExtPh(S21)	 |S12|	 Phase(S12)	 ExtPh(S12)	 |S22|	 Phase(S22)	 ExtPh(S22) 
5.000000e-001	-5.979261e+000	-1.552893e+001	-1.552893e+001	-5.450673e+001	7.205998e+001	7.205998e+001	-6.520628e+001	-6.647379e+001	-6.647379e+001	-5.770812e+000	-1.484236e+001	-1.484236e+001	
5.010000e-001	-5.962694e+000	-1.560398e+001	-1.560398e+001	-5.847254e+001	6.513231e+001	6.513231e+001	-5.775073e+001	8.880180e+001	-9.119820e+001	-5.745251e+000	-1.498945e+001	-1.498945e+001	
5.020000e-001	-5.980483e+000	-1.559244e+001	-1.559244e+001	-6.280260e+001	3.326093e+001	3.326093e+001	-5.905831e+001	9.935270e+000	-1.700647e+002	-5.770898e+000	-1.496817e+001	-1.496817e+001	
5.030000e-001	-5.986724e+000	-1.566457e+001	-1.566457e+001	-6.363404e+001	8.434104e+001	8.434104e+001	-6.410786e+001	2.569360e+001	-1.543064e+002	-5.767381e+000	-1.498356e+001	-1.498356e+001	
5.040000e-001	-5.985844e+000	-1.562476e+001	-1.562476e+001	-5.627497e+001	5.104447e+001	5.104447e+001	-6.046119e+001	6.832697e+001	-1.116730e+002	-5.754354e+000	-1.502107e+001	-1.502107e+001	
5.050000e-001	-5.975794e+000	-1.564136e+001	-1.564136e+001	-5.857478e+001	6.736380e+001	6.736380e+001	-5.550796e+001	-8.067405e+001	-8.067405e+001	-5.755148e+000	-1.506362e+001	-1.506362e+001	
5.060000e-001	-5.978882e+000	-1.581166e+001	-1.581166e+001	-5.784781e+001	2.782636e+001	2.782636e+001	-5.866671e+001	6.632066e+001	-1.136793e+002	-5.773671e+000	-1.503694e+001	-1.503694e+001	
5.070000e-001	-5.983915e+000	-1.579594e+001	-1.579594e+001	-6.010721e+001	5.539847e+001	5.539847e+001	-5.542806e+001	8.402170e+001	-9.597830e+001	-5.781896e+000	-1.509871e+001	-1.509871e+001	
5.080000e-001	-5.974389e+000	-1.585593e+001	-1.585593e+001	-6.016000e+001	3.037584e+001	3.037584e+001	-5.994744e+001	6.664418e+001	-1.133558e+002	-5.776033e+000	-1.521050e+001	-1.521050e+001	
5.090000e-001	-5.970157e+000	-1.591493e+001	-1.591493e+001	-6.264169e+001	-8.400683e+001	-8.400683e+001	-6.970272e+001	-9.471643e+000	-1.894716e+002	-5.769285e+000	-1.518441e+001	-1.518441e+001	
5.100000e-001	-5.981883e+000	-1.597297e+001	-1.597297e+001	-5.394825e+001	3.991078e+001	3.991078e+001	-6.168205e+001	2.711699e+001	-1.528830e+002	-5.768409e+000	-1.525387e+001	-1.525387e+001	
5.110000e-001	-5.963790e+000	-1.593305e+001	-1.593305e+001	-5.557029e+001	4.741946e+001	4.741946e+001	-5.674079e+001	3.781140e+001	-1.421886e+002	-5.769072e+000	-1.528787e+001	-1.528787e+001	
5.120000e-001	-5.970929e+000	-1.588901e+001	-1.588901e+001	-5.645749e+001	2.615006e+001	2.615006e+001	-5.759556e+001	-8.758038e+001	-2.675804e+002	-5.779219e+000	-1.530338e+001	-1.530338e+001	
5.130000e-001	-5.988825e+000	-1.599027e+001	-1.599027e+001	-5.949621e+001	4.834841e+001	4.834841e+001	-5.846945e+001	4.181903e+001	-1.381810e+002	-5.759611e+000	-1.531290e+001	-1.531290e+001	
5.140000e-001	-5.977471e+000	-1.599493e+001	-1.599493e+001	-6.331632e+001	-8.628933e+001	-8.628933e+001	-6.266144e+001	7.977529e+001	-1.002247e+002	-5.758669e+000	-1.530634e+001	-1.530634e+001	
5.150000e-001	-5.999186e+000	-1.605098e+001	-1.605098e+001	-6.176877e+001	8.541389e+001	-9.458611e+001	-5.854043e+001	6.075009e+001	-1.192499e+002	-5.785896e+000	-1.538144e+001	-1.538144e+001	
5.160000e-001	-5.956700e+000	-1.608827e+001	-1.608827e+001	-6.007837e+001	5.084063e+001	-1.291594e+002	-5.687674e+001	5.751722e+001	-1.224828e+002	-5.770358e+000	-1.545937e+001	-1.545937e+001	
5.170000e-001	-5.976557e+000	-1.613082e+001	-1.613082e+001	-6.116978e+001	6.463826e+001	-1.153617e+002	-6.318847e+001	7.289363e+001	-1.071064e+002	-5.755140e+000	-1.549483e+001	-1.549483e+001	
5.180000e-001	-5.971982e+000	-1.617377e+001	-1.617377e+001	-6.060517e+001	1.473677e+001	-1.652632e+002	-6.111515e+001	4.891904e+001	-1.310810e+002	-5.773874e+000	-1.559155e+001	-1.559155e+001	
5.190000e-001	-5.974000e+000	-1.605033e+001	-1.605033e+001	-5.549638e+001	4.695462e+001	-1.330454e+002	-6.782286e+001	2.692282e+001	-1.530772e+002	-5.766979e+000	-1.560128e+001	-1.560128e+001	
5.200000e-001	-5.977512e+000	-1.622941e+001	-1.622941e+001	-5.715025e+001	3.299520e+001	-1.470048e+002	-5.849423e+001	-5.486516e+001	-2.348652e+002	-5.772850e+000	-1.556516e+001	-1.556516e+001	
5.210000e-001	-5.973328e+000	-1.635790e+001	-1.635790e+001	-6.613340e+001	1.227965e+001	-1.677204e+002	-6.031754e+001	6.143206e+001	-1.185679e+002	-5.770124e+000	-1.564251e+001	-1.564251e+001	
5.220000e-001	-5.957093e+000	-1.625576e+001	-1.625576e+001	-5.812669e+001	7.402420e+001	-1.059758e+002	-6.038247e+001	7.887336e+001	-1.011266e+002	-5.751847e+000	-1.564420e+001	-1.564420e+001	
5.230000e-001	-5.966700e+000	-1.623223e+001	-1.623223e+001	-5.683189e+001	5.303448e+001	-1.269655e+002	-6.091623e+001	4.637814e+001	-1.336219e+002	-5.778378e+000	-1.564321e+001	-1.564321e+001	
5.240000e-001	-5.966504e+000	-1.633615e+001	-1.633615e+001	-5.761782e+001	6.859866e+001	-1.114013e+002	-5.835642e+001	3.444809e+001	-1.455519e+002	-5.762588e+000	-1.578794e+001	-1.578794e+001	
5.250000e-001	-5.977058e+000	-1.642296e+001	-1.642296e+001	-5.822073e+001	5.868136e+001	-1.213186e+002	-6.088820e+001	5.115737e+001	-1.288426e+002	-5.772701e+000	-1.574764e+001	-1.574764e+001	
5.260000e-001	-5.974532e+000	-1.642200e+001	-1.642200e+001	-5.763695e+001	6.465017e+001	-1.153498e+002	-5.604997e+001	2.997622e+001	-1.500238e+002	-5.753462e+000	-1.579841e+001	-1.579841e+001	
5.270000e-001	-5.965389e+000	-1.633979e+001	-1.633979e+001	-5.851443e+001	2.580621e+001	-1.541938e+002	-6.079901e+001	5.203841e+001	-1.279616e+002	-5.752644e+000	-1.585029e+001	-1.585029e+001	
5.280000e-001	-5.971429e+000	-1.651652e+001	-1.651652e+001	-6.256914e+001	7.048389e+001	-1.095161e+002	-6.032740e+001	1.526907e+001	-1.647309e+002	-5.759624e+000	-1.579874e+001	-1.579874e+001	
5.290000e-001	-5.964702e+000	-1.645626e+001	-1.645626e+001	-6.378562e+001	6.651402e+001	-1.134860e+002	-5.540197e+001	3.244633e+001	-1.475537e+002	-5.754620e+000	-1.591852e+001	-1.591852e+001	
5.300000e-001	-5.967789e+000	-1.657073e+001	-1.657073e+001	-5.722589e+001	6.201361e+001	-1.179864e+002	-5.847863e+001	6.999552e+001	-1.100045e+002	-5.757463e+000	-1.590188e+001	-1.590188e+001	
5.310000e-001	-5.979749e+000	-1.645546e+001	-1.645546e+001	-6.286414e+001	-8.994197e+001	-8.994197e+001	-5.783078e+001	-8.387125e+001	-8.387125e+001	-5.762516e+000	-1.590446e+001	-1.590446e+001	
5.320000e-001	-5.967244e+000	-1.656750e+001	-1.656750e+001	-5.983562e+001	8.923711e+001	-9.076289e+001	-6.518219e+001	5.563957e+001	5.563957e+001	-5.764560e+000	-1.596724e+001	-1.596724e+001	
5.330000e-001	-5.976537e+000	-1.663254e+001	-1.663254e+001	-5.917276e+001	4.976521e+001	-1.302348e+002	-5.912187e+001	8.996434e+001	8.996434e+001	-5.750871e+000	-1.598690e+001	-1.598690e+001	
5.340000e-001	-5.969905e+000	-1.655575e+001	-1.655575e+001	-5.973485e+001	4.756508e+001	-1.324349e+002	-6.432608e+001	3.153403e+001	3.153403e+001	-5.757640e+000	-1.599367e+001	-1.599367e+001	
5.350000e-001	-5.958279e+000	-1.660131e+001	-1.660131e+001	-6.355565e+001	3.459331e+001	-1.454067e+002	-5.766251e+001	4.143727e+001	4.143727e+001	-5.756311e+000	-1.596684e+001	-1.596684e+001	
5.360000e-001	-5.955010e+000	-1.673501e+001	-1.673501e+001	-5.954800e+001	4.577409e+001	-1.342259e+002	-6.559595e+001	3.743056e+001	3.743056e+001	-5.757419e+000	-1.609952e+001	-1.609952e+001	
5.370000e-001	-5.963446e+000	-1.671130e+001	-1.671130e+001	-6.177791e+001	5.126365e+001	-1.287364e+002	-5.866392e+001	2.695271e+001	2.695271e+001	-5.750867e+000	-1.608077e+001	-1.608077e+001	
5.380000e-001	-5.960313e+000	-1.664252e+001	-1.664252e+001	-5.954289e+001	3.334142e+001	-1.466586e+002	-5.467024e+001	6.839044e+001	6.839044e+001	-5.766370e+000	-1.612922e+001	-1.612922e+001	
5.390000e-001	-5.957978e+000	-1.680367e+001	-1.680367e+001	-6.817835e+001	3.105746e+001	-1.489425e+002	-6.540284e+001	6.494683e+001	6.494683e+001	-5.765845e+000	-1.621882e+001	-1.621882e+001	
5.400000e-001	-5.961946e+000	-1.679384e+001	-1.679384e+001	-5.527906e+001	-8.870442e+001	-2.687044e+002	-5.922906e+001	4.034517e+001	4.034517e+001	-5.755812e+000	-1.624171e+001	-1.624171e+001	
5.410000e-001	-5.956022e+000	-1.693273e+001	-1.693273e+001	-5.998954e+001	5.134408e+001	-3.086559e+002	-5.900259e+001	6.364785e+001	6.364785e+001	-5.748909e+000	-1.612402e+001	-1.612402e+001	
5.420000e-001	-5.970715e+000	-1.679127e+001	-1.679127e+001	-5.754083e+001	6.500076e+001	-2.949992e+002	-6.107336e+001	2.343218e+001	2.343218e+001	-5.760829e+000	-1.623253e+001	-1.623253e+001	
5.430000e-001	-5.956067e+000	-1.687991e+001	-1.687991e+001	-5.902176e+001	5.156495e+001	-3.084351e+002	-5.714621e+001	4.289676e+001	4.289676e+001	-5.751050e+000	-1.622036e+001	-1.622036e+001	
5.440000e-001	-5.960308e+000	-1.684734e+001	-1.684734e+001	-5.646571e+001	3.804923e+001	-3.219508e+002	-5.807701e+001	2.290335e+001	2.290335e+001	-5.742024e+000	-1.628124e+001	-1.628124e+001	
5.450000e-001	-5.963297e+000	-1.686708e+001	-1.686708e+001	-5.636688e+001	7.266104e+001	-2.873390e+002	-5.753967e+001	2.115169e+001	2.115169e+001	-5.735655e+000	-1.631986e+001	-1.631986e+001	
5.460000e-001	-5.971293e+000	-1.700297e+001	-1.700297e+001	-5.940549e+001	3.939556e+001	-3.206044e+002	-5.661071e+001	5.058302e+001	5.058302e+001	-5.746998e+000	-1.626333e+001	-1.626333e+001	
5.470000e-001	-5.959321e+000	-1.699324e+001	-1.699324e+001	-6.588032e+001	4.042423e+001	-3.195758e+002	-6.022951e+001	4.522440e+001	4.522440e+001	-5.749390e+000	-1.641635e+001	-1.641635e+001	
5.480000e-001	-5.947859e+000	-1.715952e+001	-1.715952e+001	-6.523333e+001	-2.656948e+001	-3.865695e+002	-6.131799e+001	3.366108e+001	3.366108e+001	-5.754665e+000	-1.642780e+001	-1.642780e+001	
5.490000e-001	-5.965484e+000	-1.694272e+001	-1.694272e+001	-6.175903e+001	1.353085e+001	-3.464692e+002	-6.036058e+001	7.340351e+001	7.340351e+001	-5.756213e+000	-1.646228e+001	-1.646228e+001	
5.500000e-001	-5.964731e+000	-1.705854e+001	-1.705854e+001	-6.209575e+001	8.490994e+001	-2.750901e+002	-5.734422e+001	8.256942e+001	8.256942e+001	-5.757197e+000	-1.640111e+001	-1.640111e+001	
5.510000e-001	-5.962949e+000	-1.715603e+001	-1.715603e+001	-5.604585e+001	5.591447e+001	-3.040855e+002	-5.845545e+001	2.985718e+001	2.985718e+001	-5.761458e+000	-1.648394e+001	-1.648394e+001	
5.520000e-001	-5.951694e+000	-1.708858e+001	-1.708858e+001	-5.729302e+001	4.677139e+001	-3.132286e+002	-5.762633e+001	5.929165e+001	5.929165e+001	-5.761722e+000	-1.650830e+001	-1.650830e+001	
5.530000e-001	-5.958201e+000	-1.711167e+001	-1.711167e+001	-6.013533e+001	4.019457e+001	-3.198054e+002	-6.151371e+001	7.664648e+001	7.664648e+001	-5.744050e+000	-1.658780e+001	-1.658780e+001	
5.540000e-001	-5.970115e+000	-1.717617e+001	-1.717617e+001	-6.109892e+001	2.624176e+001	-3.337582e+002	-6.114739e+001	7.987443e+001	7.987443e+001	-5.744385e+000	-1.654546e+001	-1.654546e+001	
5.550000e-001	-5.964551e+000	-1.721307e+001	-1.721307e+001	-5.869779e+001	1.323013e+001	-3.467699e+002	-5.717873e+001	4.147399e+001	4.147399e+001	-5.749709e+000	-1.662194e+001	-1.662194e+001	
5.560000e-001	-5.957639e+000	-1.713568e+001	-1.713568e+001	-6.291700e+001	6.709104e+001	-2.929090e+002	-6.305423e+001	7.364207e+001	7.364207e+001	-5.744095e+000	-1.650049e+001	-1.650049e+001	
5.570000e-001	-5.964871e+000	-1.735552e+001	-1.735552e+001	-5.987274e+001	-8.464795e+001	-2.646479e+002	-5.926687e+001	6.884373e+001	6.884373e+001	-5.737226e+000	-1.649546e+001	-1.649546e+001	
5.580000e-001	-5.974674e+000	-1.724438e+001	-1.724438e+001	-5.580274e+001	5.810679e+001	-3.018932e+002	-5.822238e+001	8.416896e+001	8.416896e+001	-5.749660e+000	-1.667466e+001	-1.667466e+001	
5.590000e-001	-5.954860e+000	-1.729624e+001	-1.729624e+001	-6.381212e+001	8.234987e+001	-2.776501e+002	-6.220717e+001	8.511947e+001	8.511947e+001	-5.746182e+000	-1.663612e+001	-1.663612e+001	
5.600000e-001	-5.968009e+000	-1.737785e+001	-1.737785e+001	-6.960607e+001	6.857093e+001	-2.914291e+002	-5.708856e+001	1.861191e+001	1.861191e+001	-5.747854e+000	-1.666266e+001	-1.666266e+001	
5.610000e-001	-5.961879e+000	-1.728272e+001	-1.728272e+001	-6.131983e+001	3.822104e+001	-3.217790e+002	-6.403691e+001	2.877313e+000	2.877313e+000	-5.738531e+000	-1.657407e+001	-1.657407e+001	
5.620000e-001	-5.955867e+000	-1.735359e+001	-1.735359e+001	-6.073172e+001	5.855673e+001	-3.014433e+002	-6.397603e+001	-8.074104e+001	-8.074104e+001	-5.745999e+000	-1.675481e+001	-1.675481e+001	
5.630000e-001	-5.970844e+000	-1.740117e+001	-1.740117e+001	-5.575227e+001	7.621187e+001	-2.837881e+002	-6.032218e+001	5.393502e+001	5.393502e+001	-5.732405e+000	-1.676248e+001	-1.676248e+001	
5.640000e-001	-5.961859e+000	-1.736632e+001	-1.736632e+001	-5.871924e+001	6.576170e+001	-2.942383e+002	-6.242255e+001	5.121946e+001	5.121946e+001	-5.740250e+000	-1.675666e+001	-1.675666e+001	
5.650000e-001	-5.977760e+000	-1.737436e+001	-1.737436e+001	-5.784968e+001	4.902288e+001	-3.109771e+002	-5.880402e+001	5.790787e+001	5.790787e+001	-5.741499e+000	-1.687074e+001	-1.687074e+001	
5.660000e-001	-5.963554e+000	-1.744758e+001	-1.744758e+001	-5.556572e+001	4.785607e+001	-3.121439e+002	-6.324228e+001	4.981549e+001	4.981549e+001	-5.730171e+000	-1.685035e+001	-1.685035e+001	
5.670000e-001	-5.945264e+000	-1.743942e+001	-1.743942e+001	-5.491358e+001	4.739720e+001	-3.126028e+002	-5.642868e+001	3.944862e+001	3.944862e+001	-5.738878e+000	-1.686880e+001	-1.686880e+001	
5.680000e-001	-5.959926e+000	-1.748986e+001	-1.748986e+001	-6.259061e+001	3.536473e+001	-3.246353e+002	-5.765193e+001	7.833791e+001	7.833791e+001	-5.745492e+000	-1.684710e+001	-1.684710e+001	
5.690000e-001	-5.950245e+000	-1.751476e+001	-1.751476e+001	-5.809739e+001	5.397481e+001	-3.060252e+002	-5.610350e+001	2.593274e+001	2.593274e+001	-5.729303e+000	-1.683254e+001	-1.683254e+001	
5.700000e-001	-5.962441e+000	-1.755899e+001	-1.755899e+001	-5.545026e+001	5.198132e+001	-3.080187e+002	-5.983579e+001	4.621357e+001	4.621357e+001	-5.723503e+000	-1.695300e+001	-1.695300e+001	
5.710000e-001	-5.961797e+000	-1.765278e+001	-1.765278e+001	-6.022449e+001	3.683089e+001	-3.231691e+002	-6.287143e+001	7.178120e+001	7.178120e+001	-5.734149e+000	-1.700105e+001	-1.700105e+001	
5.720000e-001	-5.967895e+000	-1.758142e+001	-1.758142e+001	-5.565923e+001	6.995588e+001	-2.900441e+002	-5.914775e+001	5.253854e+001	5.253854e+001	-5.735876e+000	-1.693618e+001	-1.693618e+001	
5.730000e-001	-5.958731e+000	-1.758614e+001	-1.758614e+001	-5.949856e+001	6.971085e+001	-2.902891e+002	-5.540112e+001	6.324758e+001	6.324758e+001	-5.742644e+000	-1.701530e+001	-1.701530e+001	
5.740000e-001	-5.977951e+000	-1.769544e+001	-1.769544e+001	-5.716608e+001	6.160130e+001	-2.983987e+002	-5.715228e+001	3.383015e+001	3.383015e+001	-5.718215e+000	-1.703387e+001	-1.703387e+001	
5.750000e-001	-5.963138e+000	-1.772661e+001	-1.772661e+001	-6.084910e+001	7.824425e+000	-3.521756e+002	-6.507961e+001	7.556589e+001	7.556589e+001	-5.735059e+000	-1.712605e+001	-1.712605e+001	
5.760000e-001	-5.971688e+000	-1.770115e+001	-1.770115e+001	-5.800385e+001	2.406257e+001	-3.359374e+002	-6.267103e+001	-9.467481e+000	-9.467481e+000	-5.731920e+000	-1.699826e+001	-1.699826e+001	
5.770000e-001	-5.953321e+000	-1.783243e+001	-1.783243e+001	-6.175316e+001	5.036669e+001	-3.096333e+002	-5.899840e+001	5.726806e+001	5.726806e+001	-5.745031e+000	-1.705874e+001	-1.705874e+001	
