Frequency	 |S11|	 Phase(S11)	 ExtPh(S11)	 |S21|	 Phase(S21)	 ExtPh(S21)	 |S12|	 Phase(S12)	 ExtPh(S12)	 |S22|	 Phase(S22)	 ExtPh(S22) 
5.000000e-001	-5.987127e+000	-1.514004e+001	-1.514004e+001	-5.672792e+001	3.835075e+001	3.835075e+001	-5.770322e+001	8.896520e+001	8.896520e+001	-5.771836e+000	-1.454601e+001	-1.454601e+001	
5.010000e-001	-5.976818e+000	-1.519724e+001	-1.519724e+001	-6.339493e+001	7.753269e+001	7.753269e+001	-5.692163e+001	3.619148e+001	3.619148e+001	-5.763859e+000	-1.465769e+001	-1.465769e+001	
5.020000e-001	-5.976887e+000	-1.518532e+001	-1.518532e+001	-5.990885e+001	7.145087e+001	7.145087e+001	-5.571269e+001	6.285130e+001	6.285130e+001	-5.765460e+000	-1.451977e+001	-1.451977e+001	
5.030000e-001	-5.966817e+000	-1.542834e+001	-1.542834e+001	-5.688077e+001	5.490435e+001	5.490435e+001	-6.457671e+001	9.055944e+000	9.055944e+000	-5.775012e+000	-1.464372e+001	-1.464372e+001	
5.040000e-001	-5.982816e+000	-1.523988e+001	-1.523988e+001	-5.858991e+001	5.904801e+001	5.904801e+001	-5.948144e+001	-8.804952e+001	-8.804952e+001	-5.774661e+000	-1.465746e+001	-1.465746e+001	
5.050000e-001	-5.984668e+000	-1.532697e+001	-1.532697e+001	-5.749684e+001	6.933499e+001	6.933499e+001	-5.375903e+001	4.976258e+001	4.976258e+001	-5.775110e+000	-1.473634e+001	-1.473634e+001	
5.060000e-001	-5.974600e+000	-1.538625e+001	-1.538625e+001	-5.856051e+001	6.941939e+001	6.941939e+001	-6.259353e+001	6.453657e+001	6.453657e+001	-5.774728e+000	-1.475789e+001	-1.475789e+001	
5.070000e-001	-5.977095e+000	-1.537424e+001	-1.537424e+001	-5.868630e+001	4.556948e+001	4.556948e+001	-5.961813e+001	1.824415e+001	1.824415e+001	-5.770663e+000	-1.476772e+001	-1.476772e+001	
5.080000e-001	-5.980426e+000	-1.542753e+001	-1.542753e+001	-5.882235e+001	6.367964e+001	6.367964e+001	-6.308174e+001	2.627088e+001	2.627088e+001	-5.761515e+000	-1.476033e+001	-1.476033e+001	
5.090000e-001	-5.984621e+000	-1.542320e+001	-1.542320e+001	-5.552331e+001	-8.596191e+001	9.403809e+001	-6.127515e+001	5.996026e+001	5.996026e+001	-5.775811e+000	-1.486823e+001	-1.486823e+001	
5.100000e-001	-5.977333e+000	-1.552707e+001	-1.552707e+001	-6.059165e+001	8.827216e+001	8.827216e+001	-6.040015e+001	5.297876e+001	5.297876e+001	-5.771616e+000	-1.489164e+001	-1.489164e+001	
5.110000e-001	-5.979442e+000	-1.553793e+001	-1.553793e+001	-6.304944e+001	5.002996e+001	5.002996e+001	-6.514207e+001	7.646186e+001	7.646186e+001	-5.778130e+000	-1.491919e+001	-1.491919e+001	
5.120000e-001	-5.963209e+000	-1.554909e+001	-1.554909e+001	-5.619502e+001	5.797383e+001	5.797383e+001	-6.356758e+001	7.739528e+001	7.739528e+001	-5.774439e+000	-1.493015e+001	-1.493015e+001	
5.130000e-001	-5.974397e+000	-1.557957e+001	-1.557957e+001	-6.014113e+001	8.760388e+001	8.760388e+001	-5.911138e+001	4.495970e+001	4.495970e+001	-5.756159e+000	-1.489390e+001	-1.489390e+001	
5.140000e-001	-5.990519e+000	-1.563117e+001	-1.563117e+001	-5.630483e+001	8.822877e+001	8.822877e+001	-6.389351e+001	3.861748e+001	3.861748e+001	-5.766006e+000	-1.486713e+001	-1.486713e+001	
5.150000e-001	-5.988580e+000	-1.572600e+001	-1.572600e+001	-6.238035e+001	8.977360e+001	8.977360e+001	-6.599651e+001	1.980409e+001	1.980409e+001	-5.766686e+000	-1.498813e+001	-1.498813e+001	
5.160000e-001	-5.979332e+000	-1.570927e+001	-1.570927e+001	-6.101133e+001	8.138422e+001	8.138422e+001	-5.978279e+001	6.177747e+001	6.177747e+001	-5.764938e+000	-1.503711e+001	-1.503711e+001	
5.170000e-001	-5.975151e+000	-1.578290e+001	-1.578290e+001	-6.404131e+001	8.331021e+001	8.331021e+001	-5.774124e+001	5.825291e+001	5.825291e+001	-5.761260e+000	-1.513214e+001	-1.513214e+001	
5.180000e-001	-5.977260e+000	-1.575711e+001	-1.575711e+001	-5.915918e+001	-8.440371e+001	9.559629e+001	-6.237201e+001	1.667941e+001	1.667941e+001	-5.764387e+000	-1.511532e+001	-1.511532e+001	
5.190000e-001	-5.979486e+000	-1.581925e+001	-1.581925e+001	-5.988015e+001	7.496648e+001	7.496648e+001	-5.764701e+001	5.553357e+001	5.553357e+001	-5.777324e+000	-1.525075e+001	-1.525075e+001	
5.200000e-001	-5.988356e+000	-1.566986e+001	-1.566986e+001	-5.878814e+001	6.066802e+001	6.066802e+001	-5.757948e+001	4.730677e+001	4.730677e+001	-5.757689e+000	-1.521878e+001	-1.521878e+001	
5.210000e-001	-5.969012e+000	-1.587294e+001	-1.587294e+001	-6.090695e+001	7.567189e+001	7.567189e+001	-5.870806e+001	4.982659e+001	4.982659e+001	-5.753469e+000	-1.516193e+001	-1.516193e+001	
5.220000e-001	-5.965998e+000	-1.581812e+001	-1.581812e+001	-6.568049e+001	4.510366e+001	4.510366e+001	-5.569518e+001	4.288333e+001	4.288333e+001	-5.764754e+000	-1.528415e+001	-1.528415e+001	
5.230000e-001	-5.971173e+000	-1.591497e+001	-1.591497e+001	-6.378205e+001	5.090933e+001	5.090933e+001	-6.471741e+001	3.200484e+001	3.200484e+001	-5.748184e+000	-1.532515e+001	-1.532515e+001	
