Frequency	 |S11|	 Phase(S11)	 ExtPh(S11)	 |S21|	 Phase(S21)	 ExtPh(S21)	 |S12|	 Phase(S12)	 ExtPh(S12)	 |S22|	 Phase(S22)	 ExtPh(S22) 
5.000000e-001	-1.186691e+000	-4.127919e+000	-4.127919e+000	-5.965175e+001	-6.387177e+001	-6.387177e+001	-5.331409e+001	-5.054155e+001	-5.054155e+001	-1.253889e+000	-3.625430e+000	-3.625430e+000	
5.010000e-001	-1.190092e+000	-4.068166e+000	-4.068166e+000	-6.966346e+001	-8.024872e+001	-8.024872e+001	-5.493609e+001	8.104297e+001	8.104297e+001	-1.238665e+000	-3.579294e+000	-3.579294e+000	
5.020000e-001	-1.190351e+000	-4.106095e+000	-4.106095e+000	-5.900932e+001	6.202762e+001	-1.179724e+002	-5.790560e+001	-8.542652e+001	9.457348e+001	-1.230382e+000	-3.661552e+000	-3.661552e+000	
5.030000e-001	-1.197474e+000	-4.147944e+000	-4.147944e+000	-5.553012e+001	4.124738e+001	-1.387526e+002	-6.275745e+001	7.468812e+001	7.468812e+001	-1.247074e+000	-3.647337e+000	-3.647337e+000	
5.040000e-001	-1.189210e+000	-4.206262e+000	-4.206262e+000	-5.987558e+001	-7.262658e+001	-2.526266e+002	-6.895307e+001	5.093072e+001	5.093072e+001	-1.243654e+000	-3.598483e+000	-3.598483e+000	
5.050000e-001	-1.193927e+000	-4.171788e+000	-4.171788e+000	-5.953953e+001	4.412558e+000	-1.755874e+002	-5.653248e+001	2.074099e+001	2.074099e+001	-1.255729e+000	-3.657239e+000	-3.657239e+000	
5.060000e-001	-1.197217e+000	-4.204177e+000	-4.204177e+000	-5.767559e+001	8.132417e+001	-9.867583e+001	-5.678611e+001	7.473002e+001	7.473002e+001	-1.258534e+000	-3.618015e+000	-3.618015e+000	
5.070000e-001	-1.180067e+000	-4.214333e+000	-4.214333e+000	-5.698532e+001	7.522673e+001	-1.047733e+002	-5.783323e+001	-8.634698e+001	9.365302e+001	-1.243087e+000	-3.743993e+000	-3.743993e+000	
5.080000e-001	-1.198549e+000	-4.209654e+000	-4.209654e+000	-5.721281e+001	4.912626e+001	-1.308737e+002	-6.030052e+001	5.588091e+001	5.588091e+001	-1.241875e+000	-3.775418e+000	-3.775418e+000	
5.090000e-001	-1.191097e+000	-4.210511e+000	-4.210511e+000	-5.865726e+001	-6.469846e+001	-2.446985e+002	-6.302609e+001	8.906324e+001	8.906324e+001	-1.236708e+000	-3.705228e+000	-3.705228e+000	
5.100000e-001	-1.202293e+000	-4.156149e+000	-4.156149e+000	-5.379932e+001	-8.640269e+001	-2.664027e+002	-6.168222e+001	-6.755776e+001	1.124422e+002	-1.251822e+000	-3.672727e+000	-3.672727e+000	
5.110000e-001	-1.190305e+000	-4.250713e+000	-4.250713e+000	-5.831339e+001	6.593278e+001	-2.940672e+002	-6.042152e+001	-1.124811e+001	1.687519e+002	-1.233923e+000	-3.732714e+000	-3.732714e+000	
5.120000e-001	-1.193550e+000	-4.191615e+000	-4.191615e+000	-5.329375e+001	6.848357e+001	-2.915164e+002	-5.321806e+001	5.257327e+001	2.325733e+002	-1.253233e+000	-3.828857e+000	-3.828857e+000	
5.130000e-001	-1.190031e+000	-4.065810e+000	-4.065810e+000	-5.817174e+001	6.975501e+001	-2.902450e+002	-5.581632e+001	-8.485390e+001	9.514610e+001	-1.250376e+000	-3.654844e+000	-3.654844e+000	
5.140000e-001	-1.190498e+000	-4.198921e+000	-4.198921e+000	-5.641466e+001	7.084410e+001	-2.891559e+002	-5.965157e+001	-3.025106e+001	1.497489e+002	-1.237100e+000	-3.821728e+000	-3.821728e+000	
5.150000e-001	-1.198918e+000	-4.318365e+000	-4.318365e+000	-6.240461e+001	-7.241226e+001	-2.524123e+002	-5.788351e+001	-7.324761e+001	1.067524e+002	-1.249159e+000	-3.729274e+000	-3.729274e+000	
5.160000e-001	-1.196764e+000	-4.245422e+000	-4.245422e+000	-5.260575e+001	7.590648e+001	-2.840935e+002	-5.879108e+001	-8.198925e+001	9.801075e+001	-1.241107e+000	-3.812683e+000	-3.812683e+000	
5.170000e-001	-1.186167e+000	-4.383377e+000	-4.383377e+000	-5.956624e+001	-7.067912e+001	-2.506791e+002	-5.708786e+001	4.473968e+001	2.247397e+002	-1.249305e+000	-3.828578e+000	-3.828578e+000	
5.180000e-001	-1.189513e+000	-4.326506e+000	-4.326506e+000	-5.963746e+001	-7.550958e+001	-2.555096e+002	-5.807789e+001	8.227545e+001	2.622754e+002	-1.241964e+000	-3.765897e+000	-3.765897e+000	
5.190000e-001	-1.192651e+000	-4.316219e+000	-4.316219e+000	-5.869193e+001	-7.887231e+001	-2.588723e+002	-6.612041e+001	-5.115677e+001	1.288432e+002	-1.259893e+000	-3.948428e+000	-3.948428e+000	
5.200000e-001	-1.202958e+000	-4.316042e+000	-4.316042e+000	-6.128841e+001	6.414033e+001	-2.958597e+002	-6.077546e+001	8.682876e+001	2.668288e+002	-1.245006e+000	-3.883174e+000	-3.883174e+000	
5.210000e-001	-1.193959e+000	-4.347125e+000	-4.347125e+000	-6.145208e+001	-8.425981e+001	-2.642598e+002	-5.449710e+001	5.123317e+001	2.312332e+002	-1.230088e+000	-3.852840e+000	-3.852840e+000	
5.220000e-001	-1.175975e+000	-4.373905e+000	-4.373905e+000	-5.663910e+001	8.413212e+001	-2.758679e+002	-6.277170e+001	-1.641454e+001	1.635855e+002	-1.243421e+000	-3.909118e+000	-3.909118e+000	
5.230000e-001	-1.171954e+000	-4.242506e+000	-4.242506e+000	-5.602946e+001	6.101716e+001	-2.989828e+002	-5.965494e+001	8.464707e+001	2.646471e+002	-1.232682e+000	-3.871973e+000	-3.871973e+000	
5.240000e-001	-1.201994e+000	-4.303351e+000	-4.303351e+000	-5.852109e+001	8.103069e+001	-2.789693e+002	-5.838810e+001	4.550532e+001	2.255053e+002	-1.244195e+000	-3.783609e+000	-3.783609e+000	
5.250000e-001	-1.185443e+000	-4.388344e+000	-4.388344e+000	-6.346994e+001	-5.685853e+001	-4.168585e+002	-5.935834e+001	-5.208259e+001	1.279174e+002	-1.237729e+000	-3.941428e+000	-3.941428e+000	
5.260000e-001	-1.199902e+000	-4.288189e+000	-4.288189e+000	-5.599262e+001	-8.915426e+001	-4.491543e+002	-6.063317e+001	8.149335e+001	2.614934e+002	-1.238204e+000	-3.766816e+000	-3.766816e+000	
5.270000e-001	-1.184635e+000	-4.397693e+000	-4.397693e+000	-5.529497e+001	7.007297e+001	-4.699270e+002	-6.644755e+001	6.059091e+001	2.405909e+002	-1.256597e+000	-3.839240e+000	-3.839240e+000	
5.280000e-001	-1.201361e+000	-4.375651e+000	-4.375651e+000	-5.959162e+001	6.656268e+001	-4.734373e+002	-6.153214e+001	2.255122e+001	2.025512e+002	-1.258681e+000	-3.916043e+000	-3.916043e+000	
5.290000e-001	-1.184419e+000	-4.415723e+000	-4.415723e+000	-5.920590e+001	8.120760e+001	-4.587924e+002	-6.940229e+001	2.550435e+001	2.055043e+002	-1.241984e+000	-3.870948e+000	-3.870948e+000	
5.300000e-001	-1.188925e+000	-4.409674e+000	-4.409674e+000	-5.249738e+001	-8.515520e+001	-4.451552e+002	-5.669110e+001	8.969824e+001	2.696982e+002	-1.240208e+000	-3.945841e+000	-3.945841e+000	
5.310000e-001	-1.181171e+000	-4.445681e+000	-4.445681e+000	-5.617777e+001	8.345484e+001	-4.565452e+002	-5.679167e+001	5.748559e+001	2.374856e+002	-1.246787e+000	-3.987174e+000	-3.987174e+000	
5.320000e-001	-1.194816e+000	-4.421199e+000	-4.421199e+000	-6.368675e+001	4.959308e+001	-4.904069e+002	-6.107235e+001	-8.136235e+001	9.863765e+001	-1.258387e+000	-4.027541e+000	-4.027541e+000	
5.330000e-001	-1.199771e+000	-4.360314e+000	-4.360314e+000	-5.872405e+001	6.409934e+001	-4.759007e+002	-5.790301e+001	4.754878e+001	2.275488e+002	-1.249179e+000	-3.977918e+000	-3.977918e+000	
5.340000e-001	-1.180578e+000	-4.432322e+000	-4.432322e+000	-5.360467e+001	-7.302578e+001	-6.130258e+002	-5.937716e+001	-8.620259e+001	9.379741e+001	-1.248669e+000	-3.958495e+000	-3.958495e+000	
5.350000e-001	-1.196059e+000	-4.346172e+000	-4.346172e+000	-5.614986e+001	8.875446e+001	-6.312455e+002	-5.666453e+001	7.351587e+001	7.351587e+001	-1.244739e+000	-4.052061e+000	-4.052061e+000	
5.360000e-001	-1.199156e+000	-4.444174e+000	-4.444174e+000	-5.594483e+001	8.507008e+001	-6.349299e+002	-5.728010e+001	-5.047035e+001	-5.047035e+001	-1.239211e+000	-3.911785e+000	-3.911785e+000	
5.370000e-001	-1.184859e+000	-4.451729e+000	-4.451729e+000	-6.068699e+001	7.111387e+001	-6.488861e+002	-5.610186e+001	-6.320668e+001	-6.320668e+001	-1.238343e+000	-3.950593e+000	-3.950593e+000	
5.380000e-001	-1.198062e+000	-4.445804e+000	-4.445804e+000	-5.982620e+001	4.817872e+001	-6.718213e+002	-6.659138e+001	-6.135350e+001	-6.135350e+001	-1.249662e+000	-3.952766e+000	-3.952766e+000	
5.390000e-001	-1.193850e+000	-4.469970e+000	-4.469970e+000	-5.478194e+001	-8.072872e+001	-8.007287e+002	-6.239199e+001	5.862818e+001	5.862818e+001	-1.232780e+000	-4.017709e+000	-4.017709e+000	
5.400000e-001	-1.183838e+000	-4.448691e+000	-4.448691e+000	-5.351557e+001	8.063220e+001	-8.193678e+002	-6.070164e+001	7.323923e+001	7.323923e+001	-1.239536e+000	-3.981618e+000	-3.981618e+000	
5.410000e-001	-1.188604e+000	-4.580541e+000	-4.580541e+000	-5.554968e+001	-5.987683e+001	-7.798768e+002	-5.374649e+001	6.423342e+001	6.423342e+001	-1.245345e+000	-4.057271e+000	-4.057271e+000	
