Frequency	 |S11|	 Phase(S11)	 ExtPh(S11)	 |S21|	 Phase(S21)	 ExtPh(S21)	 |S12|	 Phase(S12)	 ExtPh(S12)	 |S22|	 Phase(S22)	 ExtPh(S22) 
5.000000e-001	-1.172270e+000	-3.766504e+000	-3.766504e+000	-5.803397e+001	-5.173219e+001	-5.173219e+001	-6.981467e+001	-6.817730e+001	-6.817730e+001	-1.238199e+000	-3.256728e+000	-3.256728e+000	
5.010000e-001	-1.179716e+000	-3.600975e+000	-3.600975e+000	-7.335430e+001	4.680894e-001	4.680894e-001	-5.631497e+001	7.443204e+001	-1.055680e+002	-1.227762e+000	-3.233894e+000	-3.233894e+000	
5.020000e-001	-1.186158e+000	-3.716526e+000	-3.716526e+000	-5.729805e+001	-4.825077e+000	-4.825077e+000	-5.633004e+001	7.114576e+001	-1.088542e+002	-1.217715e+000	-3.216036e+000	-3.216036e+000	
5.030000e-001	-1.176589e+000	-3.754164e+000	-3.754164e+000	-6.925808e+001	1.219923e+001	1.219923e+001	-5.393973e+001	-6.760704e+001	-2.476070e+002	-1.237511e+000	-3.230752e+000	-3.230752e+000	
5.040000e-001	-1.194236e+000	-3.697938e+000	-3.697938e+000	-5.836935e+001	8.716211e+001	8.716211e+001	-6.103714e+001	4.050082e+001	-1.394992e+002	-1.248917e+000	-3.236136e+000	-3.236136e+000	
5.050000e-001	-1.186585e+000	-3.739354e+000	-3.739354e+000	-5.253843e+001	-8.369889e+001	9.630111e+001	-5.869544e+001	6.834857e+001	-1.116514e+002	-1.248923e+000	-3.196796e+000	-3.196796e+000	
5.060000e-001	-1.185983e+000	-3.774717e+000	-3.774717e+000	-6.351676e+001	3.368460e+001	2.136846e+002	-5.603098e+001	-5.125487e+001	-2.312549e+002	-1.235834e+000	-3.341790e+000	-3.341790e+000	
5.070000e-001	-1.188511e+000	-3.802308e+000	-3.802308e+000	-5.956798e+001	-8.881870e+001	9.118130e+001	-5.604304e+001	5.551321e+001	-1.244868e+002	-1.235129e+000	-3.342532e+000	-3.342532e+000	
5.080000e-001	-1.173523e+000	-3.723989e+000	-3.723989e+000	-5.493945e+001	5.974036e+001	5.974036e+001	-5.445972e+001	7.275986e+001	-1.072401e+002	-1.220630e+000	-3.355949e+000	-3.355949e+000	
5.090000e-001	-1.186905e+000	-3.748508e+000	-3.748508e+000	-5.836819e+001	-6.620683e+001	-6.620683e+001	-5.608748e+001	6.816840e+001	-1.118316e+002	-1.240270e+000	-3.329797e+000	-3.329797e+000	
5.100000e-001	-1.178125e+000	-3.895871e+000	-3.895871e+000	-6.148994e+001	5.089874e+001	5.089874e+001	-5.692433e+001	7.071983e+001	-1.092802e+002	-1.232551e+000	-3.444927e+000	-3.444927e+000	
5.110000e-001	-1.196844e+000	-3.854019e+000	-3.854019e+000	-5.782069e+001	-6.135037e+001	-6.135037e+001	-6.253001e+001	1.783047e+001	-1.621695e+002	-1.234635e+000	-3.307665e+000	-3.307665e+000	
5.120000e-001	-1.174713e+000	-3.765656e+000	-3.765656e+000	-5.816117e+001	8.128106e+001	-9.871894e+001	-5.330051e+001	8.652274e+001	-9.347726e+001	-1.242065e+000	-3.443726e+000	-3.443726e+000	
5.130000e-001	-1.184249e+000	-3.817179e+000	-3.817179e+000	-6.146821e+001	3.011678e+001	-1.498832e+002	-5.610296e+001	4.858861e+001	-1.314114e+002	-1.239045e+000	-3.323884e+000	-3.323884e+000	
5.140000e-001	-1.183401e+000	-3.790468e+000	-3.790468e+000	-5.803282e+001	5.727760e+001	-1.227224e+002	-5.548902e+001	-8.428981e+001	-2.642898e+002	-1.241628e+000	-3.283176e+000	-3.283176e+000	
5.150000e-001	-1.182177e+000	-3.733218e+000	-3.733218e+000	-5.420765e+001	-6.440435e+001	-2.444044e+002	-6.637375e+001	-6.730150e+001	-2.473015e+002	-1.239388e+000	-3.373021e+000	-3.373021e+000	
5.160000e-001	-1.194117e+000	-3.896743e+000	-3.896743e+000	-6.559738e+001	-7.957061e+001	-2.595706e+002	-6.677239e+001	-7.856685e+001	-2.585669e+002	-1.238677e+000	-3.457340e+000	-3.457340e+000	
5.170000e-001	-1.179100e+000	-3.939064e+000	-3.939064e+000	-6.381871e+001	7.963537e+001	-2.803646e+002	-5.654228e+001	-6.459282e+001	-2.445928e+002	-1.236259e+000	-3.471274e+000	-3.471274e+000	
5.180000e-001	-1.181383e+000	-3.944218e+000	-3.944218e+000	-6.193662e+001	4.645891e+001	-3.135411e+002	-6.279146e+001	-6.798097e+001	-2.479810e+002	-1.245882e+000	-3.400418e+000	-3.400418e+000	
5.190000e-001	-1.180715e+000	-3.860143e+000	-3.860143e+000	-6.438848e+001	4.315675e+001	-3.168432e+002	-6.983651e+001	-1.849279e+001	-1.984928e+002	-1.238905e+000	-3.452814e+000	-3.452814e+000	
5.200000e-001	-1.201803e+000	-3.856650e+000	-3.856650e+000	-5.477875e+001	8.269046e+001	-2.773095e+002	-5.233277e+001	-6.669245e+001	-2.466924e+002	-1.252162e+000	-3.505263e+000	-3.505263e+000	
5.210000e-001	-1.173764e+000	-4.003018e+000	-4.003018e+000	-6.620762e+001	7.538871e+001	-2.846113e+002	-6.116987e+001	-2.871589e+001	-2.087159e+002	-1.239340e+000	-3.384104e+000	-3.384104e+000	
5.220000e-001	-1.166699e+000	-3.924188e+000	-3.924188e+000	-5.582962e+001	-6.899840e+001	-2.489984e+002	-5.667840e+001	2.745284e+001	-1.525472e+002	-1.235423e+000	-3.514397e+000	-3.514397e+000	
5.230000e-001	-1.177663e+000	-3.848055e+000	-3.848055e+000	-5.838405e+001	8.357663e+001	-2.764234e+002	-6.131396e+001	8.523385e+001	-9.476615e+001	-1.247953e+000	-3.479226e+000	-3.479226e+000	
5.240000e-001	-1.164032e+000	-3.934588e+000	-3.934588e+000	-5.679144e+001	5.623992e+001	-3.037601e+002	-5.467629e+001	-2.985616e+001	-2.098562e+002	-1.243318e+000	-3.440922e+000	-3.440922e+000	
5.250000e-001	-1.188057e+000	-3.917812e+000	-3.917812e+000	-6.428014e+001	8.304918e+001	-2.769508e+002	-5.776005e+001	-4.786880e+001	-2.278688e+002	-1.220857e+000	-3.431996e+000	-3.431996e+000	
5.260000e-001	-1.197698e+000	-3.950655e+000	-3.950655e+000	-6.347874e+001	-8.398329e+001	-2.639833e+002	-5.915894e+001	6.378454e+001	-1.162155e+002	-1.231213e+000	-3.516974e+000	-3.516974e+000	
5.270000e-001	-1.183539e+000	-3.949204e+000	-3.949204e+000	-5.342924e+001	-7.917738e+001	-2.591774e+002	-6.202110e+001	-8.793609e+001	-8.793609e+001	-1.222102e+000	-3.487338e+000	-3.487338e+000	
5.280000e-001	-1.177676e+000	-3.970600e+000	-3.970600e+000	-6.017973e+001	-8.433377e+001	-2.643338e+002	-6.340377e+001	5.414256e+001	-1.258574e+002	-1.245604e+000	-3.515773e+000	-3.515773e+000	
5.290000e-001	-1.189344e+000	-3.951528e+000	-3.951528e+000	-5.844221e+001	-8.834095e+001	-2.683410e+002	-5.524044e+001	6.373379e+001	-1.162662e+002	-1.235349e+000	-3.514978e+000	-3.514978e+000	
5.300000e-001	-1.181815e+000	-3.973303e+000	-3.973303e+000	-6.185457e+001	5.291623e+001	-3.070838e+002	-5.540776e+001	5.717732e+001	-1.228227e+002	-1.243017e+000	-3.523634e+000	-3.523634e+000	
5.310000e-001	-1.180484e+000	-3.892459e+000	-3.892459e+000	-5.953040e+001	4.986376e+001	-3.101362e+002	-5.620568e+001	-4.644873e+001	-2.264487e+002	-1.234414e+000	-3.557764e+000	-3.557764e+000	
5.320000e-001	-1.169941e+000	-3.976512e+000	-3.976512e+000	-5.571791e+001	6.717601e+001	-2.928240e+002	-5.490447e+001	7.988325e+001	-1.001167e+002	-1.232821e+000	-3.579682e+000	-3.579682e+000	
5.330000e-001	-1.178803e+000	-4.011519e+000	-4.011519e+000	-5.577736e+001	-7.704853e+001	-2.570485e+002	-5.667929e+001	5.594278e+001	-1.240572e+002	-1.238423e+000	-3.568673e+000	-3.568673e+000	
5.340000e-001	-1.171624e+000	-3.925839e+000	-3.925839e+000	-5.639472e+001	8.909695e+001	-2.709031e+002	-6.003255e+001	-8.154282e+001	-2.615428e+002	-1.217381e+000	-3.549194e+000	-3.549194e+000	
5.350000e-001	-1.189952e+000	-3.987123e+000	-3.987123e+000	-5.942033e+001	6.199804e+001	-2.980020e+002	-5.955182e+001	-1.831358e+001	-1.983136e+002	-1.235207e+000	-3.577989e+000	-3.577989e+000	
5.360000e-001	-1.193893e+000	-4.108207e+000	-4.108207e+000	-6.199683e+001	8.046821e+001	-2.795318e+002	-6.320043e+001	7.843507e+001	-1.015649e+002	-1.246734e+000	-3.542746e+000	-3.542746e+000	
5.370000e-001	-1.177678e+000	-3.947321e+000	-3.947321e+000	-5.866333e+001	-8.357656e+001	-2.635766e+002	-5.531289e+001	6.297406e+001	-1.170259e+002	-1.245597e+000	-3.580905e+000	-3.580905e+000	
5.380000e-001	-1.192773e+000	-3.978839e+000	-3.978839e+000	-5.814695e+001	4.810704e+001	-1.318930e+002	-5.987185e+001	8.080447e+001	-9.919553e+001	-1.236589e+000	-3.597514e+000	-3.597514e+000	
5.390000e-001	-1.171763e+000	-3.999360e+000	-3.999360e+000	-5.432279e+001	6.755850e+001	-1.124415e+002	-5.548841e+001	3.345803e+001	-1.465420e+002	-1.238158e+000	-3.596276e+000	-3.596276e+000	
5.400000e-001	-1.174730e+000	-4.036095e+000	-4.036095e+000	-5.524395e+001	8.981927e+001	-9.018073e+001	-5.925935e+001	5.474397e+001	-1.252560e+002	-1.218187e+000	-3.542057e+000	-3.542057e+000	
5.410000e-001	-1.178339e+000	-4.128031e+000	-4.128031e+000	-5.552728e+001	-8.498301e+001	-8.498301e+001	-5.631967e+001	-6.329427e+001	-2.432943e+002	-1.236905e+000	-3.630370e+000	-3.630370e+000	
5.420000e-001	-1.179690e+000	-4.115900e+000	-4.115900e+000	-5.381058e+001	8.071641e+001	-9.928359e+001	-5.955419e+001	-8.444329e+001	-2.644433e+002	-1.233283e+000	-3.575970e+000	-3.575970e+000	
5.430000e-001	-1.185811e+000	-4.073972e+000	-4.073972e+000	-5.657332e+001	8.120783e+001	-9.879217e+001	-5.974429e+001	7.983493e+001	-2.801651e+002	-1.251357e+000	-3.613018e+000	-3.613018e+000	
5.440000e-001	-1.162562e+000	-4.073733e+000	-4.073733e+000	-5.687237e+001	-1.776957e+001	-1.977696e+002	-6.192566e+001	7.649295e+001	-2.835071e+002	-1.235216e+000	-3.657313e+000	-3.657313e+000	
5.450000e-001	-1.179451e+000	-3.998751e+000	-3.998751e+000	-5.585040e+001	7.431054e+001	-1.056895e+002	-5.550432e+001	5.386593e+001	-3.061341e+002	-1.252507e+000	-3.620949e+000	-3.620949e+000	
5.460000e-001	-1.178274e+000	-4.025716e+000	-4.025716e+000	-6.117740e+001	7.952166e+001	-1.004783e+002	-5.376913e+001	-8.562982e+001	-4.456298e+002	-1.236064e+000	-3.638497e+000	-3.638497e+000	
5.470000e-001	-1.179669e+000	-4.037569e+000	-4.037569e+000	-6.318110e+001	6.321376e+001	-1.167862e+002	-5.639562e+001	-5.452643e+001	-4.145264e+002	-1.231602e+000	-3.633550e+000	-3.633550e+000	
5.480000e-001	-1.195363e+000	-4.108204e+000	-4.108204e+000	-5.664083e+001	7.254338e+001	-1.074566e+002	-6.375030e+001	-8.033905e+001	-4.403390e+002	-1.240940e+000	-3.584110e+000	-3.584110e+000	
