Frequency	 |S11|	 Phase(S11)	 ExtPh(S11)	 |S21|	 Phase(S21)	 ExtPh(S21)	 |S12|	 Phase(S12)	 ExtPh(S12)	 |S22|	 Phase(S22)	 ExtPh(S22) 
5.000000e-001	-1.735242e-001	-2.019317e+000	-2.019317e+000	-6.680073e+001	4.154676e+001	4.154676e+001	-5.673749e+001	-5.264823e+001	-5.264823e+001	-9.482427e-002	-1.540313e+000	-1.540313e+000	
5.010000e-001	-1.645829e-001	-2.029571e+000	-2.029571e+000	-7.094262e+001	3.483752e+001	3.483752e+001	-7.022643e+001	-1.066195e+001	-1.066195e+001	-9.104213e-002	-1.552468e+000	-1.552468e+000	
5.020000e-001	-1.739235e-001	-2.029420e+000	-2.029420e+000	-6.067168e+001	7.706919e+001	7.706919e+001	-6.381340e+001	2.297687e+001	2.297687e+001	-9.229210e-002	-1.536063e+000	-1.536063e+000	
5.030000e-001	-1.722796e-001	-2.051978e+000	-2.051978e+000	-6.338942e+001	-5.303235e+001	-5.303235e+001	-6.522580e+001	-8.061647e+001	-8.061647e+001	-1.060916e-001	-1.527872e+000	-1.527872e+000	
5.040000e-001	-1.687512e-001	-2.066081e+000	-2.066081e+000	-6.303494e+001	4.548165e+001	4.548165e+001	-6.912752e+001	-6.419772e+001	-6.419772e+001	-8.737595e-002	-1.544240e+000	-1.544240e+000	
5.050000e-001	-1.656919e-001	-2.014132e+000	-2.014132e+000	-6.585513e+001	-1.060931e+000	-1.060931e+000	-7.545479e+001	-8.299877e+001	-8.299877e+001	-9.119438e-002	-1.558826e+000	-1.558826e+000	
5.060000e-001	-1.684456e-001	-2.076154e+000	-2.076154e+000	-6.592818e+001	1.991997e-001	1.991997e-001	-6.696098e+001	3.132869e+001	3.132869e+001	-1.012832e-001	-1.497273e+000	-1.497273e+000	
5.070000e-001	-1.593030e-001	-2.138583e+000	-2.138583e+000	-6.404492e+001	-3.520131e+001	-3.520131e+001	-6.583111e+001	6.933349e+001	6.933349e+001	-9.756120e-002	-1.616858e+000	-1.616858e+000	
5.080000e-001	-1.584607e-001	-2.066463e+000	-2.066463e+000	-6.273912e+001	7.333746e+001	7.333746e+001	-6.640885e+001	-4.699458e+001	-4.699458e+001	-9.636029e-002	-1.637406e+000	-1.637406e+000	
5.090000e-001	-1.704078e-001	-2.084446e+000	-2.084446e+000	-5.956789e+001	-2.951174e+001	-2.951174e+001	-6.385311e+001	8.047026e+001	8.047026e+001	-1.095590e-001	-1.549939e+000	-1.549939e+000	
5.100000e-001	-1.637264e-001	-2.068836e+000	-2.068836e+000	-6.229484e+001	-6.306860e+000	-6.306860e+000	-6.743109e+001	-6.497548e+001	1.150245e+002	-9.425737e-002	-1.550916e+000	-1.550916e+000	
5.110000e-001	-1.656340e-001	-2.171372e+000	-2.171372e+000	-6.633318e+001	-8.358231e+001	-8.358231e+001	-8.026904e+001	-6.663931e+001	1.133607e+002	-1.033441e-001	-1.647075e+000	-1.647075e+000	
5.120000e-001	-1.701065e-001	-2.073434e+000	-2.073434e+000	-6.216748e+001	-7.375657e+001	-7.375657e+001	-6.769226e+001	-5.139602e+001	1.286040e+002	-9.978636e-002	-1.660501e+000	-1.660501e+000	
5.130000e-001	-1.639091e-001	-2.121352e+000	-2.121352e+000	-6.854726e+001	4.176785e+001	4.176785e+001	-6.268658e+001	3.036192e+001	2.103619e+002	-9.933829e-002	-1.573623e+000	-1.573623e+000	
