Frequency	 |S11|	 Phase(S11)	 ExtPh(S11)	 |S21|	 Phase(S21)	 ExtPh(S21)	 |S12|	 Phase(S12)	 ExtPh(S12)	 |S22|	 Phase(S22)	 ExtPh(S22) 
5.000000e-001	-1.694337e-001	-2.207841e+000	-2.207841e+000	-6.685804e+001	8.629553e+001	8.629553e+001	-6.490730e+001	-6.722868e+001	-6.722868e+001	-1.678038e-001	-1.943622e+000	-1.943622e+000	
5.010000e-001	-1.652238e-001	-2.185283e+000	-2.185283e+000	-6.092633e+001	6.490769e+001	6.490769e+001	-6.630179e+001	3.380222e+001	3.380222e+001	-1.708400e-001	-2.027074e+000	-2.027074e+000	
5.020000e-001	-1.674552e-001	-2.272368e+000	-2.272368e+000	-6.629534e+001	-8.679785e+001	9.320215e+001	-5.950985e+001	-7.623781e+001	-7.623781e+001	-1.607347e-001	-2.039605e+000	-2.039605e+000	
5.030000e-001	-1.726058e-001	-2.255417e+000	-2.255417e+000	-6.987741e+001	3.439944e+001	2.143994e+002	-7.315596e+001	-5.683685e+001	-5.683685e+001	-1.620560e-001	-2.038573e+000	-2.038573e+000	
5.040000e-001	-1.661078e-001	-2.293863e+000	-2.293863e+000	-6.713555e+001	3.235719e+001	2.123572e+002	-6.111430e+001	3.194074e+001	3.194074e+001	-1.623959e-001	-2.032410e+000	-2.032410e+000	
5.050000e-001	-1.645657e-001	-2.279664e+000	-2.279664e+000	-6.394638e+001	3.872008e+001	2.187201e+002	-7.355537e+001	-3.529473e+001	-3.529473e+001	-1.702378e-001	-2.036880e+000	-2.036880e+000	
5.060000e-001	-1.665921e-001	-2.251996e+000	-2.251996e+000	-6.549144e+001	-7.621082e+001	1.037892e+002	-6.970732e+001	4.047331e+000	4.047331e+000	-1.724167e-001	-2.053592e+000	-2.053592e+000	
5.070000e-001	-1.642128e-001	-2.273903e+000	-2.273903e+000	-6.158673e+001	-3.267237e+001	1.473276e+002	-6.621555e+001	4.692396e+001	4.692396e+001	-1.620488e-001	-2.074029e+000	-2.074029e+000	
5.080000e-001	-1.688792e-001	-2.271880e+000	-2.271880e+000	-7.238400e+001	1.877065e+001	1.987706e+002	-7.106047e+001	-1.424044e+001	-1.424044e+001	-1.665210e-001	-2.133690e+000	-2.133690e+000	
5.090000e-001	-1.726463e-001	-2.353622e+000	-2.353622e+000	-6.585708e+001	7.967082e+001	2.596708e+002	-7.634479e+001	-7.584295e+001	-7.584295e+001	-1.725765e-001	-2.074537e+000	-2.074537e+000	
