Frequency 	 |S21| 	 Phase(S21) 	 ExtPhase(S21) 	 CorPhase(S21)	 ExtCorPhase(S21)	 |S12| 	 Phase(S12)	 ExtPhase(S12) 	 CorPhase(S12)	 ExtCorPhase(S12)
GHz 	 dB 	 deg 	 deg 	 deg	 deg	 dB 	 deg 	 deg 	 deg	 deg
0.5	-54.6362680545312	-34.0772669921989	-34.0772669921989	63.298886403478	63.298886403478	-60.9510323633671	19.3533795147755	-34.0772669921989	33.3256370008912	63.298886403478
0.501	-60.0845665846216	63.365171781413	63.365171781413	17.8030534666009	17.8030534666009	-61.8920550758487	37.6140978721654	37.6140978721654	16.2920537438942	16.2920537438942
0.502	-67.4393263252185	-56.1128497920229	-56.1128497920229	-11.6887912933328	-11.6887912933328	-58.1823634715229	51.927542809938	51.927542809938	-46.651234501072	-46.651234501072
0.503	-57.6550946890563	-13.8993928594718	-13.8993928594718	-34.759158507229	-34.759158507229	-57.4694948653658	74.3791052972495	74.3791052972495	9.15075080422661	9.15075080422661
0.504	-57.6320046160852	55.9790211972201	55.9790211972201	-16.0091134691106	-16.0091134691106	-58.3579884049512	63.30461858829	63.30461858829	-33.4257531753742	-33.4257531753742
0.505	-67.0178006599463	-63.9435216498151	-63.9435216498151	-7.42932719175839	-7.42932719175839	-62.4217520751761	71.089997056907	71.089997056907	2.88660498463449	2.88660498463449
0.506	-59.1690379793936	-27.6470580555185	-27.6470580555185	39.375108899431	39.375108899431	-64.6923399506234	67.0296188042039	67.0296188042039	10.0136985610596	10.0136985610596
0.507	-58.0108752436412	58.1405741500194	58.1405741500194	25.0686805756163	25.0686805756163	-53.7584128478517	-86.4595198260063	93.5404801739937	51.9609836041676	51.9609836041676
0.508	-60.8997150525821	53.660414609037	53.660414609037	32.1601575374331	32.1601575374331	-55.9445398923153	16.9135626823427	196.913562682343	55.7912008535837	55.7912008535837
0.509	-81.921986864247	78.3402920135968	78.3402920135968	-0.437167032624113	-0.437167032624113	-67.2027436546236	-44.7818790050869	135.218120994913	-10.2349485817243	-10.2349485817243
0.51	-54.6263770186797	-79.4897055545911	100.510294445409	40.3882121172028	40.3882121172028	-72.1700168064724	-86.8519387388895	93.1480612611105	-1.85556118433527	-1.85556118433527
0.511	-59.4980801753256	-30.7511373470212	149.248862652979	39.3311205229754	39.3311205229754	-60.5790831975917	7.84656768270661	187.846567682707	28.6729841081586	28.6729841081586
0.512	-57.1606499083027	5.18828097557655	185.188280975577	-43.576211657894	-43.576211657894	-54.898424602241	53.4006828938674	233.400682893867	-38.3944007503676	-38.3944007503676
0.513	-69.0563657396632	71.9702215847178	251.970221584718	-3.39885035464182	-3.39885035464182	-58.8555151351375	77.0274865241794	257.027486524179	1.59352949832949	1.59352949832949
0.514	-58.985167324128	13.4647050191631	193.464705019163	-40.614090662914	-40.614090662914	-68.1258964119692	-42.4867597955611	137.513240204439	10.1748187956192	10.1748187956192
0.515	-67.7504961590324	-83.3462326599005	96.6537673400995	5.71047924490675	5.71047924490675	-77.1796325968218	70.2870942442634	250.287094244263	0.990845973731483	0.990845973731483
0.516	-62.7085171298087	7.59605412550911	187.596054125509	33.4432374756059	33.4432374756059	-54.6333013252551	-65.6212284238489	294.378771576151	67.8925484781271	67.8925484781271
0.517	-56.8559611350837	19.5954836873591	199.595483687359	42.6598287237043	42.6598287237043	-54.7700912646441	-80.4427901187178	279.557209881282	-76.6776251739588	103.322374826041
0.518	-66.3040316294792	-28.0186697339155	151.981330266085	-18.5829425873997	-18.5829425873997	-70.482703034048	-18.8216065971138	341.178393402886	-10.8808410066945	169.119158993305
0.519	-58.4903379287751	-30.862532516674	149.137467483326	46.9626251860665	46.9626251860665	-63.4956905002317	-41.8078511132472	318.192148886753	-15.8571514314314	164.142848568569
0.52	-56.8777543909186	-38.4374150674042	141.562584932596	-35.467263930496	-35.467263930496	-53.9976678440987	-48.9302339519536	311.069766048046	-40.1079330824777	139.892066917522
0.521	-52.1144015640091	3.84271670394687	183.842716703947	55.3697524160809	55.3697524160809	-63.261926652352	-4.93669747608244	355.063302523918	-24.5765797487091	155.423420251291
0.522	-54.5745570936342	18.015910782572	198.015910782572	-71.8263850166952	-71.8263850166952	-76.6158378997496	-64.9974884933187	295.002511506681	-3.05127908365472	176.948720916345
0.523	-64.8047020049338	-32.3506854234987	147.649314576501	-16.5027710788964	-16.5027710788964	-63.653941586992	48.3135080039227	408.313508003923	13.1216687295714	193.121668729571
0.524	-66.0590647620857	-38.2751698227228	141.724830177277	11.4973123571882	11.4973123571882	-55.2705206731927	-82.5796643494604	457.42033565054	36.418998572163	216.418998572163
0.525	-61.6748430593793	73.624354394015	253.624354394015	-37.8541771160037	-37.8541771160037	-62.5764573918162	-7.88280864100348	532.117191358996	50.8682887324297	230.86828873243
0.526	-58.1170256684845	86.0715189120983	266.071518912098	-4.72261456930792	-4.72261456930792	-53.6929630012555	43.3911843418693	583.391184341869	-80.3923143067898	279.60768569321
0.527	-64.4140879277212	-2.96946933397018	177.03053066603	23.2299537622171	23.2299537622171	-56.7943626200213	17.0754941735342	557.075494173534	-46.3943859441186	313.605614055881
0.528	-61.891771738927	-84.2616620070472	95.7383379929528	6.83087992523534	6.83087992523534	-72.1710759487758	-75.5499263966079	464.450073603392	-9.34292748689913	350.657072513101
0.529	-55.358991658085	-36.561238175301	143.438761824699	-54.1559786237593	-54.1559786237593	-59.1526885982003	64.1599469697088	424.159946969709	5.27854077674809	365.278540776748
0.53	-56.9992865572965	-6.32828027663922	173.671719723361	42.2453360975123	42.2453360975123	-56.5902897144024	-20.477402709869	339.522597290131	61.1610673943691	421.161067394369
0.531	-53.0035023037041	-10.0679167847483	169.932083215252	79.2048865101535	79.2048865101535	-82.6864921989687	53.2414801043597	413.24148010436	0.82723478977542	360.827234789775
0.532	-61.3991564808219	86.5338010056975	266.533801005698	17.3289095173351	17.3289095173351	-71.829381310537	26.9185202468682	386.918520246868	11.6923299163107	371.692329916311
0.533	-62.3349921271248	-28.2080855603932	151.791914439607	25.8094442763046	25.8094442763046	-61.6583728975328	-43.2425847191458	316.757415280854	-30.5200855068118	329.479914493188
0.534	-59.3029008413456	54.6839525548998	234.6839525549	-16.4675011761341	-16.4675011761341	-55.6933478285476	46.5295981355153	406.529598135515	-13.3757189106763	346.624281089324
0.535	-66.7604187024726	75.3572380973531	255.357238097353	1.13464425591997	1.13464425591997	-77.2804203119274	82.8304094897222	442.830409489722	0.937476174911479	360.937476174911
